# 微明领域词库：医学，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
角膜异物	jiao mo yi wu	2
角膜挫伤	jiao mo cuo shang	3
角膜擦伤	jiao mo ca shang	5
角膜新生血管	jiao mo xin sheng xue guan	2
角膜映光法	jiao mo ying guang fa	3
角膜水肿	jiao mo shui zhong	7
角膜浑浊	jiao mo hun zhuo	2
角膜混浊	jiao mo hun zhuo	15
角膜溃疡	jiao mo kui yang	32
角膜瘘	jiao mo lou	2
角膜瘢痕	jiao mo ban hen	3
角膜白斑	jiao mo bai ban	4
角膜移植	jiao mo yi zhi	45
角膜移植术	jiao mo yi zhi shu	3
角膜翳	jiao mo yi	3
角膜营养不良	jiao mo ying yang bu liang	7
角膜葡萄肿	jiao mo pu tao zhong	1
角膜血管翳	jiao mo xue guan yi	2
角色偏差	jue se pian cha	3
角色紧张	jue se jin zhang	4
角色行为	jue se xing wei	5
角质形成细胞	jiao zhi xing cheng xi bao	32
角鲨烯胶丸	jiao sha xi jiao wan	4
解偶联	jie ou lian	35
解偶联剂	jie ou lian ji	7
解剖显微镜	jie pou xian wei jing	6
解剖生理学	jie pou sheng li xue	2
解毒作用	jie du zuo yong	25
解毒止泻胶囊	jie du zhi xie jiao nang	2
解毒生肌膏	jie du sheng ji gao	2
解毒胶囊	jie du jiao nang	7
解溪	jie xi	4
解溪穴	jie xi xue	3
解热止痛散	jie re zhi tong san	3
解热镇痛抗炎药	jie re zhen tong kang yan yao	4
解热镇痛药	jie re zhen tong yao	12
解痉镇痛酊	jie jing zhen tong ding	3
解脲支原体	jie niao zhi yuan ti	2
解郁	jie yu	18
解郁和肝丸	jie yu he gan wan	3
解郁安神	jie yu an shen	1
触毛	chu mao	7
触觉小体	chu jue xiao ti	8
警戒色	jing jie se	49
计划免疫	ji hua mian yi	14
计算机体层摄影	ji suan ji ti ceng she ying	3
计算机应用基础	ji suan ji ying yong ji chu	6
计算机文化基础	ji suan ji wen hua ji chu	1
认知地图	ren zhi di tu	42
认知治疗	ren zhi zhi liao	24
认知疗法	ren zhi liao fa	29
认知革命	ren zhi ge ming	26
认知领悟疗法	ren zhi ling wu liao fa	3
记忆减退	ji yi jian tui	9
记忆增强	ji yi zeng qiang	3
记忆广度	ji yi guang du	18
记忆痕迹	ji yi hen ji	15
记忆细胞	ji yi xi bao	37
记忆表象	ji yi biao xiang	2
许叔微	xu shu wei	7
许希	xu xi	5
论治	lun zhi	33
证治准绳	zheng zhi zhun sheng	4
评定量表	ping ding liang biao	26
识别位点	shi bie wei dian	13
诊断学	zhen duan xue	42
诊断学基础	zhen duan xue ji chu	3
诊断性刮宫	zhen duan xing gua gong	5
诊断性刮宫术	zhen duan xing gua gong shu	2
诊断试剂	zhen duan shi ji	43
诊法	zhen fa	12
试管凝集试验	shi guan ning ji shi yan	3
试管刷	shi guan shua	17
试管夹	shi guan jia	5
诗乐	shi yue	30
语义记忆	yu yi ji yi	35
语声低微	yu sheng di wei	2
语言发育障碍	yu yan fa yu zhang ai	7
语言困难	yu yan kun nan	6
误吸	wu xi	19
诱发电位	you fa dian wei	8
诱发突变	you fa tu bian	11
诱变剂	you bian ji	38
诱变育种	you bian yu zhong	7
诸病源候论	zhu bing yuan hou lun	42
诸葛行军散	zhu ge xing jun san	1
诺和灵	nuo he ling	5
诺氟沙星	nuo fu sha xing	13
诺氟沙星注射液	nuo fu sha xing zhu she ye	2
诺氟沙星滴眼液	nuo fu sha xing di yan ye	2
诺氟沙星胶囊	nuo fu sha xing jiao nang	8
诺迪康胶囊	nuo di kang jiao nang	2
诺雷得	nuo lei de	4
课堂讨论	ke tang tao lun	24
调中益气汤	tiao zhong yi qi tang	1
调和肝脾	tiao he gan pi	1
调和脾胃	tiao he pi wei	2
调定点	diao ding dian	6
调经	tiao jing	30
调经促孕丸	tiao jing cu yun wan	3
调经止痛胶囊	tiao jing zhi tong jiao nang	2
调经活血片	tiao jing huo xue pian	2
调经益母片	tiao jing yi mu pian	2
调经益灵片	tiao jing yi ling pian	2
调经祛斑胶囊	tiao jing qu ban jiao nang	3
调经至宝丸	tiao jing zhi bao wan	5
调经补血丸	tiao jing bu xue wan	4
调肝汤	tiao gan tang	3
调胃承气汤	tiao wei cheng qi tang	2
调胃舒肝丸	tiao wei shu gan wan	2
调节性内斜视	tiao jie xing nei xie shi	3
调质	tiao zhi	33
谢婉雯	xie wan wen	34
谢通门	xie tong men	38
谵妄状态	zhan wang zhuang tai	5
谷丙甘氨酸胶囊	gu bing gan an suan jiao nang	4
谷丙转氨酶	gu bing zhuan an mei	37
谷氨酰转移酶	gu an xian zhuan yi mei	6
谷氨酰转肽酶	gu an xian zhuan tai mei	8
谷甾醇	gu zai chun	11
谷红注射液	gu hong zhu she ye	2
谷维素	gu wei su	5
谷维素片	gu wei su pian	5
谷胱甘肽还原酶	gu guang gan tai huan yuan mei	15
谷芽	gu ya	14
谷草转氨酶	gu cao zhuan an mei	11
象皮病	xiang pi bing	23
象皮肿	xiang pi zhong	5
豹纹状眼底	bao wen zhuang yan di	3
贝克痣	bei ke zhi	2
贝尼地平	bei ni di ping	1
贝母枇杷糖浆	bei mu pi pa tang jiang	3
贝母花	bei mu hua	3
贝羚胶囊	bei ling jiao nang	2
贝苗	bei miao	1
贝诺酯	bei nuo zhi	1
贝诺酯片	bei nuo zhi pian	2
贝那普利	bei na pu li	3
贝齿	bei chi	4
贞芪扶正胶囊	zhen qi fu zheng jiao nang	3
负荷超声心动图	fu he chao sheng xin dong tu	2
败酱草	bai jiang cao	4
质壁分离	zhi bi fen li	14
质控	zhi kong	29
质量性状	zhi liang xing zhuang	2
贫血性心脏病	pin xue xing xin zang bing	5
贫血痣	pin xue zhi	2
贮积症	zhu ji zheng	42
贯通伤	guan tong shang	4
贯黄感冒颗粒	guan huang gan mao ke li	2
贴剂	tie ji	6
贴敷疗法	tie fu liao fa	2
贵要静脉	gui yao jing mai	3
费城染色体	fei cheng ran se ti	46
贾伯乐提督街	jia bo le ti du jie	34
资生丸	zi sheng wan	1
赖氨匹林	lai an pi lin	3
赖氨匹林肠溶胶囊	lai an pi lin chang rong jiao nang	2
赖氨葡锌片	lai an pu xin pian	3
赖氨酸磷酸氢钙颗粒	lai an suan lin suan qing gai ke li	3
赖诺普利	lai nuo pu li	8
赖诺普利片	lai nuo pu li pian	2
赛庚啶	sai geng ding	3
赛胃安胶囊	sai wei an jiao nang	2
赤小豆	chi xiao dou	27
赤白肉际	chi bai rou ji	4
赤石脂	chi shi zhi	12
赤芍	chi shao	37
赤芍药	chi shao yao	5
赤芝	chi zhi	24
赤魟	chi hong	3
走马牙疳	zou ma ya gan	2
赵学敏	zhao xue min	35
赵继宗	zhao ji zong	9
起病	qi bing	11
超分子	chao fen zi	7
超声内镜	chao sheng nei jing	3
超声医学	chao sheng yi xue	9
超声吸脂	chao sheng xi zhi	2
超声心动图	chao sheng xin dong tu	41
超声成像	chao sheng cheng xiang	14
超声波洁牙机	chao sheng bo jie ya ji	1
超声波疗法	chao sheng bo liao fa	1
超声疗法	chao sheng liao fa	1
超声诊断学	chao sheng zhen duan xue	4
超声雾化	chao sheng wu hua	6
超声雾化器	chao sheng wu hua qi	2
超常期	chao chang qi	3
超微型浮游生物	chao wei xing fu you sheng wu	1
超微结构	chao wei jie gou	32
超急性排斥反应	chao ji xing pai chi fan ying	6
超抗原	chao kang yuan	6
超数排卵	chao shu pai luan	4
超氧化物岐化酶	chao yang hua wu qi hua mei	1
超滑导丝	chao hua dao si	2
超滤器	chao lv qi	2
超短波疗法	chao duan bo liao fa	2
超种	chao zhong	3
超稳定性	chao wen ding xing	4
超薄切片机	chao bo qie pian ji	1
超速离心机	chao su li xin ji	6
越鞠丸	yue ju wan	1
越鞠保和丸	yue ju bao he wan	2
趋异	qu yi	29
足三里	zu san li	19
足临泣	zu lin qi	5
足五里穴	zu wu li xue	2
足光散	zu guang san	2
足光粉	zu guang fen	4
足关节	zu guan jie	4
足内翻	zu nei fan	4
足厥阴肝经	zu jue yin gan jing	10
足太阳膀胱经	zu tai yang pang guang jing	16
足太阴脾经	zu tai yin pi jing	15
足少阳胆经	zu shao yang dan jing	11
足少阴肾经	zu shao yin shen jing	15
足窍阴	zu qiao yin	4
足背动脉	zu bei dong mai	5
足舟骨	zu zhou gu	9
足菌肿	zu jun zhong	6
足跟痛	zu gen tong	3
足骨	zu gu	16
趾疣	zhi you	2
趾骨骨折	zhi gu gu zhe	16
跌倒发作	die dao fa zuo	3
跌打万花油	die da wan hua you	5
跌打损伤丸	die da sun shang wan	2
跌打止痛液	die da zhi tong ye	2
跌打活血散	die da huo xue san	4
跌打生骨颗粒	die da sheng gu ke li	2
跌打红药片	die da hong yao pian	3
跌打药酒	die da yao jiu	4
跌打风湿药酒	die da feng shi yao jiu	2
跖屈	zhi qu	3
跖疣	zhi you	9
跖筋膜炎	zhi jin mo yan	4
跖趾	zhi zhi	1
跖趾关节	zhi zhi guan jie	5
跖趾关节脱位	zhi zhi guan jie tuo wei	3
跖骨痛	zhi gu tong	4
跖骨骨折	zhi gu gu zhe	20
距骨骨折	ju gu gu zhe	5
跟腱断裂	gen jian duan lie	26
跟腱炎	gen jian yan	6
跟骨	gen gu	9
跟骨骨刺	gen gu gu ci	3
跟骨骨折	gen gu gu zhe	1
跳痛	tiao tong	4
踝关节扭伤	huai guan jie niu shang	7
踝关节脱位	huai guan jie tuo wei	5
踝关节融合术	huai guan jie rong he shu	2
踝关节骨折	huai guan jie gu zhe	4
踝足矫形器	huai zu jiao xing qi	3
踝骨骨折	huai gu gu zhe	8
蹼趾	pu zhi	8
躁狂抑郁性精神病	zao kuang yi yu xing jing shen bing	2
躁狂症	zao kuang zheng	31
身体依赖性	shen ti yi lai xing	1
身柱	shen zhu	3
身柱穴	shen zhu xue	3
身痛逐瘀汤	shen tong zhu yu tang	3
躯体化障碍	qu ti hua zhang ai	5
躯体变形障碍	qu ti bian xing zhang ai	20
躯体形式障碍	qu ti xing shi zhang ai	5
躯体效应	qu ti xiao ying	4
躯干肌	qu gan ji	1
躯干骨	qu gan gu	5
转位	zhuan wei	7
转化体	zhuan hua ti	6
转化基因	zhuan hua ji yin	3
转化糖	zhuan hua tang	3
转化糖注射液	zhuan hua tang zhu she ye	3
转化糖电解质注射液	zhuan hua tang dian jie zhi zhu she ye	2
转基因动物	zhuan ji yin dong wu	21
转基因植物	zhuan ji yin zhi wu	26
转座因子	zhuan zuo yin zi	5
转换区	zhuan huan qu	6
转换性障碍	zhuan huan xing zhang ai	5
转移因子	zhuan yi yin zi	4
转移因子口服液	zhuan yi yin zi kou fu ye	3
转移因子口服溶液	zhuan yi yin zi kou fu rong ye	3
转移性腺癌	zhuan yi xing xian ai	2
转肽酶	zhuan tai mei	6
转谷氨酰胺酶	zhuan gu an xian an mei	3
转铁蛋白	zhuan tie dan bai	31
轮回选择	lun hui xuan ze	4
轮状病毒抗原	lun zhuang bing du kang yuan	1
轮状病毒疫苗	lun zhuang bing du yi miao	25
软下疳	ruan xia gan	5
软产道异常	ruan chan dao yi chang	3
软材	ruan cai	1
软纤维瘤	ruan xian wei liu	3
软组织损伤	ruan zu zhi sun shang	24
软组织肉瘤	ruan zu zhi rou liu	21
软胶囊	ruan jiao nang	12
软胶囊剂	ruan jiao nang ji	5
软脑膜	ruan nao mo	37
软腐病	ruan fu bing	15
软膏剂	ruan gao ji	19
软骨发育不全	ruan gu fa yu bu quan	17
软骨炎	ruan gu yan	18
软骨瘤	ruan gu liu	8
软骨细胞	ruan gu xi bao	48
软骨肉瘤	ruan gu rou liu	7
软骨膜	ruan gu mo	12
轴位	zhou wei	6
轴突运输	zhou tu yun shu	3
轻度精神发育迟滞	qing du jing shen fa yu chi zhi	7
轻粉	qing fen	4
轻躁狂	qing zao kuang	6
载体效应	zai ti xiao ying	4
载玻片	zai bo pian	37
辅助生殖技术	fu zhu sheng zhi ji shu	48
辅肌动蛋白	fu ji dong dan bai	27
辐射性白内障	fu she xing bai nei zhang	2
辐射损伤	fu she sun shang	12
输卵管伞	shu luan guan san	1
输卵管卵巢脓肿	shu luan guan luan chao nong zhong	1
输卵管发育异常	shu luan guan fa yu yi chang	2
输卵管吻合术	shu luan guan wen he shu	5
输卵管囊肿	shu luan guan nang zhong	3
输卵管妊娠	shu luan guan ren shen	1
输卵管恶性肿瘤	shu luan guan e xing zhong liu	1
输卵管炎	shu luan guan yan	15
输卵管积水	shu luan guan ji shui	4
输卵管积脓	shu luan guan ji nong	3
输卵管粘连	shu luan guan zhan lian	7
输卵管结扎术	shu luan guan jie zha shu	7
输卵管结核	shu luan guan jie he	4
输卵管通水	shu luan guan tong shui	4
输卵管通液术	shu luan guan tong ye shu	4
输导组织	shu dao zu zhi	12
输尿管乙状结肠吻合术	shu niao guan yi zhuang jie chang wen he shu	2
输尿管切开取石术	shu niao guan qie kai qu shi shu	3
输尿管扩张	shu niao guan kuo zhang	4
输尿管损伤	shu niao guan sun shang	5
输尿管炎	shu niao guan yan	5
输尿管狭窄	shu niao guan xia zhai	1
输尿管畸形	shu niao guan ji xing	4
输尿管肿瘤	shu niao guan zhong liu	2
输尿管镜碎石术	shu niao guan jing sui shi shu	1
输液反应	shu ye fan ying	2
输液泵	shu ye beng	15
输精管吻合术	shu jing guan wen he shu	1
输精管复通术	shu jing guan fu tong shu	13
输精管炎	shu jing guan yan	4
输精管结扎术	shu jing guan jie zha shu	15
输精管缺如	shu jing guan que ru	1
输精管造影	shu jing guan zao ying	3
输血反应	shu xue fan ying	23
输血器	shu xue qi	6
辛伐他汀片	xin fa ta ting pian	5
辛伐他汀胶囊	xin fa ta ting jiao nang	3
辛凉解表	xin liang jie biao	8
辛夷花	xin yi hua	10
辛夷鼻炎丸	xin yi bi yan wan	3
辛弗林	xin fu lin	13
辛温解表	xin wen jie biao	8
辛芳鼻炎胶囊	xin fang bi yan jiao nang	3
辨证论治	bian zheng lun zhi	37
边材	bian cai	41
边缘区	bian yuan qu	8
边缘型人格障碍	bian yuan xing ren ge zhang ai	20
边缘运动	bian yuan yun dong	4
辽宁成大	liao ning cheng da	22
达克宁	da ke ning	7
达卡巴嗪	da ka ba qin	8
达原饮	da yuan yin	7
达喜	da xi	8
达宁	da ning	6
达峰时间	da feng shi jian	5
达立通颗粒	da li tong ke li	3
达菲林	da fei lin	1
达那唑	da na zuo	13
达那唑胶囊	da na zuo jiao nang	2
过岗龙	guo gang long	1
过敏体质	guo min ti zhi	23
过敏史	guo min shi	21
过敏性咳嗽	guo min xing ke sou	1
过敏性哮喘	guo min xing xiao chuan	10
过敏性疾病	guo min xing ji bing	41
过敏性皮疹	guo min xing pi zhen	2
过敏性紫癜	guo min xing zi dian	6
过敏性结肠炎	guo min xing jie chang yan	1
过敏性肺炎	guo min xing fei yan	12
过敏性腹泻	guo min xing fu xie	3
过敏性血管炎	guo min xing xue guan yan	3
过敏毒素	guo min du su	5
过敏科	guo min ke	5
过期产儿	guo qi chan er	2
过期妊娠	guo qi ren shen	8
过氧乙酸溶液	guo yang yi suan rong ye	5
过氧化苯酰	guo yang hua ben xian	3
过氧苯甲酰	guo yang ben jia xian	7
过渡相	guo du xiang	7
过硼酸钠	guo peng suan na	22
过继免疫	guo ji mian yi	3
过继转移	guo ji zhuan yi	1
迈之灵	mai zhi ling	1
迈之灵片	mai zhi ling pian	3
迎香	ying xiang	18
迎香穴	ying xiang xue	2
运动中枢	yun dong zhong shu	11
运动区	yun dong qu	10
运动单位	yun dong dan wei	3
运动处方	yun dong chu fang	15
运动强度	yun dong qiang du	26
运动性失语	yun dong xing shi yu	3
运动疗法	yun dong liao fa	26
运动知觉	yun dong zhi jue	19
运动神经元病	yun dong shen jing yuan bing	20
运动系统	yun dong xi tong	8
运动终板	yun dong zhong ban	12
运动觉	yun dong jue	3
运动记忆	yun dong ji yi	4
近中	jin zhong	9
近交	jin jiao	4
近交系数	jin jiao xi shu	23
近亲系数	jin qin xi shu	3
返魂草	fan hun cao	1
返魂草颗粒	fan hun cao ke li	2
还原固精丸	huan yuan gu jing wan	3
还原型谷胱甘肽	huan yuan xing gu guang gan tai	2
进动	jin dong	6
进化遗传学	jin hua yi chuan xue	12
进行性多灶性白质脑病	jin xing xing duo zao xing bai zhi nao bing	3
进行性指掌角皮症	jin xing xing zhi zhang jiao pi zheng	2
进行性核上性麻痹	jin xing xing he shang xing ma bi	3
进行性脂肪营养不良	jin xing xing zhi fang ying yang bu liang	2
进行性骨化性肌炎	jin xing xing gu hua xing ji yan	3
远中	yuan zhong	9
远程会诊	yuan cheng hui zhen	5
远程医学	yuan cheng yi xue	1
远缘杂种	yuan yuan za zhong	2
连合纤维	lian he xian wei	3
连接体	lian jie ti	7
连枷胸	lian jia xiong	7
连续切片	lian xu qie pian	1
连续变量	lian xu bian liang	21
连续培养	lian xu pei yang	11
连翘提取物	lian qiao ti qu wu	1
连翘败毒丸	lian qiao bai du wan	4
连翘败毒片	lian qiao bai du pian	2
连锁不平衡	lian suo bu ping heng	26
连锁分析	lian suo fen xi	7
连锁图	lian suo tu	3
连锁基因	lian suo ji yin	6
连锁相	lian suo xiang	3
连锁群	lian suo qun	15
连锁遗传	lian suo yi chuan	7
迟发性运动障碍	chi fa xing yun dong zhang ai	18
述情障碍	shu qing zhang ai	25
迷路炎	mi lu yan	33
追风药酒	zhui feng yao jiu	4
追风透骨丸	zhui feng tou gu wan	4
追风透骨片	zhui feng tou gu pian	3
退变性关节炎	tui bian xing guan jie yan	2
退嗽露	tui sou lu	2
退热贴	tui re tie	2
退行期	tui xing qi	9
退障眼膏	tui zhang yan gao	2
适合度	shi he du	7
适宜刺激	shi yi ci ji	2
适应证	shi ying zheng	13
逆传心包	ni chuan xin bao	3
逆行射精	ni xing she jing	24
逆行性牙髓炎	ni xing xing ya sui yan	2
逆行肾盂造影	ni xing shen yu zao ying	1
选择反应时	xuan ze fan ying shi	6
选择基因	xuan ze ji yin	2
选择强度	xuan ze qiang du	1
选择性培养基	xuan ze xing pei yang ji	8
选择性注意	xuan ze xing zhu yi	20
选择性缄默症	xuan ze xing jian mo zheng	49
选择指数	xuan ze zhi shu	2
选择染色	xuan ze ran se	2
选择毒性	xuan ze du xing	1
选择系数	xuan ze xi shu	6
选择蛋白	xuan ze dan bai	2
逍遥丸	xiao yao wan	1
逍遥丸浓缩丸	xiao yao wan nong suo wan	2
逍遥散	xiao yao san	20
透壁性心肌梗死	tou bi xing xin ji geng si	4
透明层	tou ming ceng	18
透明质酸钠凝胶	tou ming zhi suan na ning jiao	3
透明软骨	tou ming ruan gu	44
透析器	tou xi qi	13
透析液	tou xi ye	14
透皮贴剂	tou pi tie ji	2
透过性	tou guo xing	7
透骨草	tou gu cao	38
透骨香	tou gu xiang	4
递质	di zhi	46
通便消痤片	tong bian xiao cuo pian	3
通便灵	tong bian ling	4
通便灵胶囊	tong bian ling jiao nang	7
通天口服液	tong tian kou fu ye	1
通天穴	tong tian xue	3
通宣理肺丸	tong xuan li fei wan	6
通宣理肺片	tong xuan li fei pian	2
通心络胶囊	tong xin luo jiao nang	1
通痹胶囊	tong bi jiao nang	4
通窍救心油	tong qiao jiu xin you	2
通窍活血汤	tong qiao huo xue tang	3
通窍益心丸	tong qiao yi xin wan	2
通窍耳聋丸	tong qiao er long wan	3
通窍鼻炎片	tong qiao bi yan pian	3
通络下乳	tong luo xia ru	1
通络生骨胶囊	tong luo sheng gu jiao nang	2
通络祛痛膏	tong luo qu tong gao	4
通脉养心丸	tong mai yang xin wan	4
通脉胶囊	tong mai jiao nang	3
通脉降糖胶囊	tong mai jiang tang jiao nang	3
通脉降脂片	tong mai jiang zhi pian	2
通脉颗粒	tong mai ke li	1
通舒口爽胶囊	tong shu kou shuang jiao nang	5
通草	tong cao	42
通谷	tong gu	3
通里	tong li	7
速克感冒片	su ke gan mao pian	3
速尿	su niao	1
速尿片	su niao pian	3
速感宁胶囊	su gan ning jiao nang	3
速效心痛滴丸	su xiao xin tong di wan	2
速效感冒胶囊	su xiao gan mao jiao nang	6
速效救心丸	su xiao jiu xin wan	4
速效止泻胶囊	su xiao zhi xie jiao nang	4
速溶阿胶颗粒	su rong e jiao ke li	3
造口术	zao kou shu	35
造影导管	zao ying dao guan	4
造影术	zao ying shu	11
造血器官	zao xue qi guan	23
造血祖细胞	zao xue zu xi bao	4
造血系统	zao xue xi tong	20
造釉细胞瘤	zao you xi bao liu	1
逻辑记忆	luo ji ji yi	1
逼尿肌	bi niao ji	28
遗传与优生	yi chuan yu you sheng	4
遗传印记	yi chuan yin ji	2
遗传咨询	yi chuan zi xun	32
遗传图	yi chuan tu	1
遗传异质性	yi chuan yi zhi xing	3
遗传性共济失调	yi chuan xing gong ji shi tiao	1
遗传性小脑性共济失调	yi chuan xing xiao nao xing gong ji shi tiao	3
遗传性痉挛性截瘫	yi chuan xing jing luan xing jie tan	4
遗传性肾炎	yi chuan xing shen yan	4
遗传性血管性水肿	yi chuan xing xue guan xing shui zhong	7
遗传流行病学	yi chuan liu xing bing xue	12
遗传背景	yi chuan bei jing	13
遗传药理学	yi chuan yao li xue	4
遗传距离	yi chuan ju li	38
遗尿停胶囊	yi niao ting jiao nang	2
遗尿病	yi niao bing	2
遗忘症	yi wang zheng	20
遗忘综合征	yi wang zong he zheng	1
遥测心电图	yao ce xin dian tu	2
邓小平理论概论	deng xiao ping li lun gai lun	2
邓铁涛	deng tie tao	29
邝安堃	kuang an kun	5
那他霉素	na ta mei su	3
那可丁	na ke ding	8
那如三味丸	na ru san wei wan	3
那敏伪麻胶囊	na min wei ma jiao nang	4
那格列奈	na ge lie nai	1
那格列奈片	na ge lie nai pian	2
那氟沙星	na fu sha xing	5
邪正	xie zheng	40
邪气盛则实	xie qi sheng ze shi	1
邹国英	zou guo ying	5
邻氨基苯甲酸	lin an ji ben jia suan	47
郁李仁	yu li ren	6
郁滞	yu zhi	10
郁病	yu bing	2
郁积性皮炎	yu ji xing pi yan	3
郁证	yu zheng	4
郁金银屑片	yu jin yin xie pian	5
郄穴	qie xue	18
郄门	qie men	4
郑夏恩	zheng xia en	17
郑怀贤	zheng huai xian	3
郑曼青	zheng man qing	47
郑维健	zheng wei jian	26
部分冠	bu fen guan	3
都梁滴丸	du liang di wan	2
都梁软胶囊	du liang ruan jiao nang	3
都气丸	du qi wan	1
酊剂	ding ji	25
配伍禁忌	pei wu jin ji	12
酒渣鼻	jiu zha bi	11
酒石	jiu shi	3
酒石酸吉他霉素	jiu shi suan ji ta mei su	3
酒石酸唑吡坦片	jiu shi suan zuo bi tan pian	3
酒石酸托特罗定	jiu shi suan tuo te luo ding	2
酒石酸溴莫尼定滴眼液	jiu shi suan xiu mo ni ding di yan ye	2
酒石酸美托洛尔	jiu shi suan mei tuo luo er	2
酒石酸美托洛尔片	jiu shi suan mei tuo luo er pian	2
酒石酸锑钾	jiu shi suan ti jia	19
酒石酸长春瑞滨	jiu shi suan chang chun rui bin	1
酒窝成形术	jiu wo cheng xing shu	4
酒精中毒性脑病	jiu jing zhong du xing nao bing	5
酒精性肝损坏	jiu jing xing gan sun huai	3
酒精性肝硬化	jiu jing xing gan ying hua	10
酒精性脂肪肝	jiu jing xing zhi fang gan	29
酒精擦浴	jiu jing ca yu	7
酚中毒	fen zhong du	3
酚咖麻敏胶囊	fen ka ma min jiao nang	5
酚妥拉明	fen tuo la ming	2
酚氨咖敏片	fen an ka min pian	2
酚磺乙胺注射液	fen huang yi an zhu she ye	3
酚苄明	fen bian ming	1
酚酞片	fen tai pian	5
酚麻美敏片	fen ma mei min pian	5
酞丁安乳膏	tai ding an ru gao	3
酪氨酸血症	lao an suan xue zheng	2
酪氨酸酶	lao an suan mei	24
酪酸梭菌	lao suan suo jun	2
酪酸梭菌活菌胶囊	lao suan suo jun huo jun jiao nang	3
酪醇	lao chun	12
酮康他索乳膏	tong kang ta suo ru gao	2
酮康唑	tong kang zuo	33
酮康唑乳膏	tong kang zuo ru gao	3
酮康唑洗剂	tong kang zuo xi ji	4
酮康唑片	tong kang zuo pian	2
酮康唑胶囊	tong kang zuo jiao nang	2
酮替芬	tong ti fen	8
酮洛芬	tong luo fen	1
酮洛芬搽剂	tong luo fen cha ji	2
酰胺键	xian an jian	24
酶切	mei qie	28
酶原	mei yuan	49
酶联免疫吸附测定	mei lian mian yi xi fu ce ding	6
酶联免疫吸附试验	mei lian mian yi xi fu shi yan	20
酸性磷酸酶	suan xing lin suan mei	17
酸性蛋白酶	suan xing dan bai mei	7
酸枣仁汤	suan zao ren tang	3
醋氮酰胺	cu dan xian an	1
醋氯芬酸	cu lv fen suan	3
醋氯芬酸肠溶片	cu lv fen suan chang rong pian	2
醋甲唑胺	cu jia zuo an	1
醋甲唑胺片	cu jia zuo an pian	2
醋硝香豆素	cu xiao xiang dou su	2
醋碘苯酸钠	cu dian ben suan na	3
醋酸亮丙瑞林	cu suan liang bing rui lin	3
醋酸倍他米松搽剂	cu suan bei ta mi song cha ji	2
醋酸可的松	cu suan ke di song	2
醋酸可的松滴眼液	cu suan ke di song di yan ye	2
醋酸地塞米松	cu suan di sai mi song	1
醋酸地塞米松软膏	cu suan di sai mi song ruan gao	2
醋酸曲安奈德	cu suan qu an nai de	1
醋酸曲安奈德注射液	cu suan qu an nai de zhu she ye	2
醋酸曲普瑞林	cu suan qu pu rui lin	1
醋酸氟轻松	cu suan fu qing song	6
醋酸氟轻松乳膏	cu suan fu qing song ru gao	2
醋酸氢化可的松	cu suan qing hua ke di song	1
醋酸氯地孕酮	cu suan lv di yun tong	2
醋酸泼尼松	cu suan po ni song	1
醋酸泼尼松片	cu suan po ni song pian	4
醋酸泼尼松龙	cu suan po ni song long	2
醋酸甲羟孕酮	cu suan jia qiang yun tong	32
醋酸甲羟孕酮片	cu suan jia qiang yun tong pian	2
醋酸白试验	cu suan bai shi yan	1
醋酸纤维素	cu suan xian wei su	49
醋酸钙颗粒	cu suan gai ke li	2
醋酸铅	cu suan qian	21
醑剂	xu ji	1
醒脑再造胶囊	xing nao zai zao jiao nang	3
醒脑安神胶囊	xing nao an shen jiao nang	2
醒脑静	xing nao jing	1
醒脑静注射液	xing nao jing zhu she ye	6
醒脾开胃颗粒	xing pi kai wei ke li	6
醛缩酶	quan suo mei	26
醽醁	ling lu	2
采血针	cai xue zhen	4
釉质发育不全	you zhi fa yu bu quan	6
释放因子	shi fang yin zi	38
释放度	shi fang du	1
里急后重	li ji hou zhong	9
重复尿道	chong fu niao dao	2
重复感染	chong fu gan ran	26
重复肾	chong fu shen	1
重大传染病疫情	zhong da chuan ran bing yi qing	4
重度精神发育迟滞	zhong du jing shen fa yu chi zhi	6
重感灵片	zhong gan ling pian	3
重接	chong jie	7
重楼	chong lou	8
重瓣胃	zhong ban wei	17
重症联合免疫缺陷	zhong zheng lian he mian yi que xian	2
重睑	chong jian	9
重睑成形术	chong jian cheng xing shu	4
重睑术	chong jian shu	4
重组人生长激素	chong zu ren sheng zhang ji su	1
重组人胰岛素	chong zu ren yi dao su	1
重组体	chong zu ti	10
重组修复	chong zu xiu fu	10
重组值	chong zu zhi	2
重组子	chong zu zi	3
重组率	chong zu lv	9
重组质粒	chong zu zhi li	4
重铬酸盐	zhong ge suan yan	28
野兔热	ye tu re	1
野决明	ye jue ming	27
野战外科学	ye zhan wai ke xue	2
野木瓜片	ye mu gua pian	3
野生型基因	ye sheng xing ji yin	3
野百合碱	ye bai he jian	2
野菊花栓	ye ju hua shuan	2
野颠茄	ye dian qie	3
野马追	ye ma zhui	3
量反应	liang fan ying	2
金世力德	jin shi li de	2
金丝桃苷	jin si tao gan	3
金乌骨通胶囊	jin wu gu tong jiao nang	4
金佛止痛丸	jin fo zhi tong wan	4
金刚乙胺	jin gang yi an	22
金刚烷胺	jin gang wan an	41
