# 微明领域词库：医学，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
乙状结肠扭转	yi zhuang jie chang niu zhuan	1
乙状结肠系膜	yi zhuang jie chang xi mo	3
乙状结肠造瘘术	yi zhuang jie chang zao lou shu	2
乙状结肠镜检查	yi zhuang jie chang jing jian cha	2
乙琥胺	yi hu an	5
乙类传染病	yi lei chuan ran bing	30
乙肝两对半	yi gan liang dui ban	8
乙肝免疫球蛋白	yi gan mian yi qiu dan bai	2
乙肝核心抗体	yi gan he xin kang ti	9
乙肝清热解毒胶囊	yi gan qing re jie du jiao nang	2
乙肝灵丸	yi gan ling wan	3
乙肝灵胶囊	yi gan ling jiao nang	4
乙肝舒康	yi gan shu kang	3
乙肝舒康胶囊	yi gan shu kang jiao nang	3
乙肝表面抗体	yi gan biao mian kang ti	3
乙肝表面抗原	yi gan biao mian kang yuan	42
乙胺丁醇	yi an ding chun	15
乙胺吡嗪利福异烟片	yi an bi qin li fu yi yan pian	2
乙胺嘧啶	yi an mi ding	30
乙胺嘧啶片	yi an mi ding pian	2
乙脑减毒活疫苗	yi nao jian du huo yi miao	7
乙脑疫苗	yi nao yi miao	5
乙脑病毒	yi nao bing du	7
乙酰丙嗪	yi xian bing qin	4
乙酰半胱氨酸	yi xian ban guang an suan	13
乙酰半胱氨酸颗粒	yi xian ban guang an suan ke li	3
乙酰可待因	yi xian ke dai yin	4
乙酰唑胺	yi xian zuo an	14
乙酰唑胺片	yi xian zuo an pian	2
乙酰氨基酚	yi xian an ji fen	2
乙酰胺注射液	yi xian an zhu she ye	4
乙酰螺旋霉素	yi xian luo xuan mei su	5
乙酰螺旋霉素片	yi xian luo xuan mei su pian	4
乙酰谷酰胺	yi xian gu xian an	2
乙酰麦迪霉素	yi xian mai di mei su	1
乙醇中毒	yi chun zhong du	3
九制大黄丸	jiu zhi da huang wan	3
九华痔疮栓	jiu hua zhi chuang shuan	1
九华膏	jiu hua gao	3
九卷	jiu juan	8
九味健肾胶囊	jiu wei jian shen jiao nang	3
九味双解口服液	jiu wei shuang jie kou fu ye	3
九味沉香胶囊	jiu wei chen xiang jiao nang	2
九味石灰华散	jiu wei shi hui hua san	2
九味羌活丸	jiu wei qiang huo wan	4
九味羌活汤	jiu wei qiang huo tang	3
九味羌活颗粒	jiu wei qiang huo ke li	3
九味肝泰胶囊	jiu wei gan tai jiao nang	3
九节菖蒲	jiu jie chang pu	3
习惯性流产	xi guan xing liu chan	21
习惯性脱位	xi guan xing tuo wei	4
乡镇卫生院	xiang zhen wei sheng yuan	41
乳中	ru zhong	9
乳中穴	ru zhong xue	1
乳头内陷	ru tou nei xian	7
乳头溢液	ru tou yi ye	1
乳头状囊腺癌	ru tou zhuang nang xian ai	2
乳头状瘤	ru tou zhuang liu	36
乳头状腺瘤	ru tou zhuang xian liu	2
乳头瘤病毒	ru tou liu bing du	48
乳宁片	ru ning pian	2
乳宁胶囊	ru ning jiao nang	2
乳宁颗粒	ru ning ke li	2
乳房下垂	ru fang xia chui	36
