# 微明领域词库：IT 与计算机，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
代码工具类	dai ma gong ju lei	5
代码布局	dai ma bu ju	1
代码托管	dai ma tuo guan	34
代码扩充	dai ma kuo chong	5
代码技巧	dai ma ji qiao	8
代码技术	dai ma ji shu	5
代码提示	dai ma ti shi	5
代码整洁	dai ma zheng jie	10
代码整理	dai ma zheng li	2
代码格式化	dai ma ge shi hua	1
代码检查	dai ma jian cha	5
代码模板	dai ma mo ban	2
代码注释	dai ma zhu shi	6
代码测试	dai ma ce shi	13
代码混淆	dai ma hun xiao	27
代码片	dai ma pian	6
代码片段库	dai ma pian duan ku	1
代码生成器	dai ma sheng cheng qi	31
代码生成程序	dai ma sheng cheng cheng xu	2
代码移动	dai ma yi dong	1
代码签名	dai ma qian ming	34
代码管理	dai ma guan li	2
代码管理工具	dai ma guan li gong ju	10
代码类	dai ma lei	2
代码结构	dai ma jie gou	17
代码统计	dai ma tong ji	8
代码编写	dai ma bian xie	20
代码编辑器	dai ma bian ji qi	48
代码能力	dai ma neng li	11
代码自动补全	dai ma zi dong bu quan	3
代码行数	dai ma hang shu	13
代码补全	dai ma bu quan	20
代码表	dai ma biao	36
代码覆盖率	dai ma fu gai lv	25
代码规范	dai ma gui fan	2
代码记录	dai ma ji lu	10
代码设计	dai ma she ji	3
代码评审	dai ma ping shen	6
代码调试	dai ma tiao shi	12
代码质量	dai ma zhi liang	13
代码走查	dai ma zou cha	9
代码转换器	dai ma zhuan huan qi	1
代码重构	dai ma chong gou	35
代码重用	dai ma chong yong	7
代码阅读	dai ma yue du	2
代码隐藏文件	dai ma yin cang wen jian	7
代码隐藏类	dai ma yin cang lei	7
代码风格	dai ma feng ge	22
代码高亮	dai ma gao liang	4
令牌传递	ling pai chuan di	15
令牌传递协议	ling pai chuan di xie yi	1
令牌总线	ling pai zong xian	5
令牌总线网	ling pai zong xian wang	5
令牌环	ling pai huan	47
令牌环网	ling pai huan wang	8
以图搜图	yi tu sou tu	5
以太网交换机	yi tai wang jiao huan ji	26
以行为为中心	yi xing wei wei zhong xin	6
任务交换	ren wu jiao huan	2
任务分担	ren wu fen dan	1
任务协调	ren wu xie tiao	4
任务启动	ren wu qi dong	22
任务图	ren wu tu	5
任务处理	ren wu chu li	9
任务控制块	ren wu kong zhi kuai	10
任务描述符	ren wu miao shu fu	6
任务栈	ren wu zhan	12
任务框架	ren wu kuang jia	4
任务模型	ren wu mo xing	2
任务池	ren wu chi	8
任务终止	ren wu zhong zhi	11
任务调度	ren wu diao du	26
任务调度程序	ren wu diao du cheng xu	2
任务迁移	ren wu qian yi	1
任务队列	ren wu dui lie	15
任务集	ren wu ji	2
任意多边形	ren yi duo bian xing	9
仿函数	fang han shu	5
仿微信	fang wei xin	11
