# 微明领域词库：IT 与计算机，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
编程语言之	bian cheng yu yan zhi	2
编程语言类	bian cheng yu yan lei	7
编程资料	bian cheng zi liao	8
编程资源	bian cheng zi yuan	1
编程软件	bian cheng ruan jian	10
编程辅助	bian cheng fu zhu	1
编程错误	bian cheng cuo wu	13
编程问题	bian cheng wen ti	8
编程风格	bian cheng feng ge	34
编程马拉松	bian cheng ma la song	12
编译优化	bian yi you hua	9
编译内核	bian yi nei he	5
编译出错	bian yi chu cuo	6
编译参数	bian yi can shu	2
编译器优化	bian yi qi you hua	25
编译型语言	bian yi xing yu yan	4
编译处理	bian yi chu li	1
编译安装	bian yi an zhuang	8
编译工具	bian yi gong ju	35
编译打包	bian yi da bao	2
编译报错	bian yi bao cuo	20
编译指令	bian yi zhi ling	11
编译时错误	bian yi shi cuo wu	3
编译源码	bian yi yuan ma	4
编译环境	bian yi huan jing	8
编译程序	bian yi cheng xu	28
编译类型	bian yi lei xing	10
编译系统	bian yi xi tong	27
编译调试	bian yi tiao shi	2
编译过程	bian yi guo cheng	26
编译选项	bian yi xuan xiang	42
编译速度	bian yi su du	10
编译配置	bian yi pei zhi	2
编译链接	bian yi lian jie	6
编译错误	bian yi cuo wu	32
编辑器使用	bian ji qi shi yong	10
编辑器扩展	bian ji qi kuo zhan	9
编辑文件	bian ji wen jian	25
编辑框	bian ji kuang	13
编辑程序	bian ji cheng xu	12
编辑距离	bian ji ju li	22
编辑页面	bian ji ye mian	13
缩放动画	suo fang dong hua	12
缩放工具	suo fang gong ju	5
缩放比例	suo fang bi li	20
缩点	suo dian	20
缺失值	que shi zhi	9
缺失率	que shi lv	7
缺省参数	que sheng can shu	23
缺省路由	que sheng lu you	10
缺陷管理	que xian guan li	5
缺页	que ye	31
缺页中断	que ye zhong duan	1
网上商城	wang shang shang cheng	31
网卡信息	wang ka xin xi	11
网卡绑定	wang ka bang ding	1
网卡驱动	wang ka qu dong	17
网址导航	wang zhi dao hang	28
网拓扑	wang tuo pu	6
网摘	wang zhai	23
网易云捕	wang yi yun bu	6
网易云课堂	wang yi yun ke tang	4
网易视频云	wang yi shi pin yun	7
网易邮箱	wang yi you xiang	36
网格布局	wang ge bu ju	11
网格生成	wang ge sheng cheng	7
网格视图	wang ge shi tu	6
网游开发	wang you kai fa	3
网状数据库	wang zhuang shu ju ku	6
网状数据模型	wang zhuang shu ju mo xing	1
网状网	wang zhuang wang	1
网狐	wang hu	7
网狐棋牌	wang hu qi pai	6
网狐经典版	wang hu jing dian ban	5
网盾	wang dun	15
网站优化	wang zhan you hua	3
网站制作	wang zhan zhi zuo	10
网站前台	wang zhan qian tai	9
网站前端	wang zhan qian duan	5
网站名	wang zhan ming	10
网站后台	wang zhan hou tai	6
网站安全	wang zhan an quan	10
网站建设	wang zhan jian she	12
网站开发	wang zhan kai fa	13
网站性能	wang zhan xing neng	1
网站性能优化	wang zhan xing neng you hua	9
网站推荐	wang zhan tui jian	14
网站搭建	wang zhan da jian	2
网站收集	wang zhan shou ji	37
网站改版	wang zhan gai ban	35
网站构建	wang zhan gou jian	2
网站架构	wang zhan jia gou	12
网站架构设计	wang zhan jia gou she ji	7
网站模板	wang zhan mu ban	2
网站源码	wang zhan yuan ma	10
网站监控	wang zhan jian kong	1
网站策划	wang zhan ce hua	2
网站管理	wang zhan guan li	10
网站设计	wang zhan she ji	12
网站转发	wang zhan zhuan fa	5
网站运维	wang zhan yun wei	1
网站运营	wang zhan yun ying	27
网站部署	wang zhan bu shu	1
网系统	wang xi tong	7
网络互连	wang luo hu lian	14
网络仿真	wang luo fang zhen	5
网络优化	wang luo you hua	17
网络体系结构	wang luo ti xi jie gou	7
网络信息服务	wang luo xin xi fu wu	11
网络分割	wang luo fen ge	1
网络分析图层	wang luo fen xi tu ceng	5
网络判断	wang luo pan duan	9
网络加载	wang luo jia zai	3
网络加速	wang luo jia su	3
网络协议栈	wang luo xie yi zhan	10
网络单元	wang luo dan yuan	10
网络原理	wang luo yuan li	2
网络同步	wang luo tong bu	20
网络命令	wang luo ming ling	2
网络图片	wang luo tu pian	5
网络基本功	wang luo ji ben gong	7
网络多线程	wang luo duo xian cheng	6
网络字节序	wang luo zi jie xu	8
网络字节顺序	wang luo zi jie shun xu	1
网络安全技术	wang luo an quan ji shu	5
网络安全研究	wang luo an quan yan jiu	7
网络家电	wang luo jia dian	5
网络工具	wang luo gong ju	25
网络工程师	wang luo gong cheng shi	48
网络带宽	wang luo dai kuan	43
网络常识	wang luo chang shi	6
网络开发	wang luo kai fa	37
网络异常	wang luo yi chang	43
网络引擎	wang luo yin qing	5
网络手机	wang luo shou ji	4
网络抓包	wang luo zhua bao	1
网络拥塞	wang luo yong se	20
网络推广	wang luo tui guang	21
网络摄像头	wang luo she xiang tou	49
网络操作系统	wang luo cao zuo xi tong	12
网络收音机	wang luo shou yin ji	21
网络攻防	wang luo gong fang	5
网络数据请求	wang luo shu ju qing qiu	9
网络文摘	wang luo wen zhai	1
网络日志	wang luo ri zhi	36
网络时间协议	wang luo shi jian xie yi	21
网络最大流	wang luo zui da liu	8
网络架构	wang luo jia gou	48
网络栈	wang luo zhan	4
网络框架	wang luo kuang jia	6
网络检测	wang luo jian ce	1
网络模型	wang luo mo xing	37
网络流最大流	wang luo liu zui da liu	8
网络流问题	wang luo liu wen ti	12
网络测试	wang luo ce shi	9
网络状态	wang luo zhuang tai	15
网络监听	wang luo jian ting	10
网络监测	wang luo jian ce	5
网络类型	wang luo lei xing	15
网络编程	wang luo bian cheng	12
网络编程开发	wang luo bian cheng kai fa	6
网络虚拟化	wang luo xu ni hua	4
网络蠕虫	wang luo ru chong	1
网络解析	wang luo jie xi	9
网络计算机	wang luo ji suan ji	7
网络设施	wang luo she shi	23
网络设置	wang luo she zhi	35
网络诊断	wang luo zhen duan	6
网络请求	wang luo qing qiu	7
网络请求数据	wang luo qing qiu shu ju	2
网络请求框架	wang luo qing qiu kuang jia	11
网络资讯	wang luo zi xun	32
网络运维	wang luo yun wei	4
网络连接状态	wang luo lian jie zhuang tai	12
网络适配器	wang luo shi pei qi	29
网络通信协议	wang luo tong xin xie yi	5
网络通信技术	wang luo tong xin ji shu	4
网络通信编程	wang luo tong xin bian cheng	7
网络通讯编程	wang luo tong xun bian cheng	5
网络部分	wang luo bu fen	11
网络配置	wang luo pei zhi	14
网路编程	wang lu bian cheng	1
网际互连	wang ji hu lian	1
网际协议地址	wang ji xie yi di zhi	1
网际快车	wang ji kuai che	6
网页制作	wang ye zhi zuo	44
网页前端	wang ye qian duan	6
网页前端技术	wang ye qian duan ji shu	5
网页历史	wang ye li shi	2
网页图表	wang ye tu biao	1
网页布局	wang ye bu ju	3
网页开发	wang ye kai fa	37
网页技术	wang ye ji shu	33
网页抓取	wang ye zhua qu	24
网页授权	wang ye shou quan	10
网页木马	wang ye mu ma	7
网页爬虫	wang ye pa chong	3
网页特效	wang ye te xiao	10
网页编程	wang ye bian cheng	5
网页编辑	wang ye bian ji	13
网页编辑器	wang ye bian ji qi	13
网页解析	wang ye jie xi	2
置为顶层	zhi wei ding ceng	6
置位	zhi wei	35
置换密码	zhi huan mi ma	4
置数据	zhi shu ju	7
置文件属性	zhi wen jian shu xing	5
置类型	zhi lei xing	6
置背景色	zhi bei jing se	5
美团网	mei tuan wang	32
美国微软公司	mei guo wei ruan gong si	45
美术表现	mei shu biao xian	11
群体智能	qun ti zhi neng	19
群相册	qun xiang ce	18
群组选择器	qun zu xuan ze qi	9
翻译文档	fan yi wen dang	4
翻译程序	fan yi cheng xu	10
翻页效果	fan ye xiao guo	3
老化试验	lao hua shi yan	1
老年代	lao nian dai	13
老板键	lao ban jian	7
考试系统	kao shi xi tong	10
耦合度	ou he du	13
耦合系统	ou he xi tong	14
聊天工具	liao tian gong ju	34
聊天界面	liao tian jie mian	26
聊天程序	liao tian cheng xu	2
聊天系统	liao tian xi tong	31
职业路线	zhi ye lu xian	7
职场规划	zhi chang gui hua	1
职责链	zhi ze lian	11
职责链模式	zhi ze lian mo shi	11
联众游戏	lian zhong you xi	2
联合主键	lian he zhu jian	11
联合查询	lian he cha xun	3
联合索引	lian he suo yin	1
联想存储器	lian xiang cun chu qi	7
联想网络	lian xiang wang luo	3
联想记忆	lian xiang ji yi	10
联想输入	lian xiang shu ru	1
联机事务处理	lian ji shi wu chu li	4
联机分析处理	lian ji fen xi chu li	4
联机分析挖掘	lian ji fen xi wa jue	5
联机处理	lian ji chu li	7
联机查询	lian ji cha xun	5
联机测试	lian ji ce shi	6
联机系统	lian ji xi tong	6
联机调试	lian ji tiao shi	9
联邦数据库	lian bang shu ju ku	2
聚合事件	ju he shi jian	4
聚合关系	ju he guan xi	4
聚合函数	ju he han shu	43
聚合数据	ju he shu ju	6
聚簇索引	ju cu suo yin	11
聚类算法	ju lei suan fa	38
聚集索引	ju ji suo yin	7
股票分析	gu piao fen xi	5
肤色检测	fu se jian ce	1
背景合并	bei jing he bing	6
背景图层	bei jing tu ceng	9
背景建模	bei jing jian mo	6
背景选择器	bei jing xuan ze qi	8
背景透明	bei jing tou ming	1
能力成熟	neng li cheng shu	5
能力表	neng li biao	7
脆弱点	cui ruo dian	10
脉冲噪声	mai chong zao sheng	3
脉冲幅度	mai chong fu du	10
脉冲频率	mai chong pin lv	6
脉动阵列	mai dong zhen lie	2
脉码调制	mai ma tiao zhi	7
脏数据	zang shu ju	10
脏数据检查	zang shu ju jian cha	8
脑模型	nao mo xing	5
脚本开发	jiao ben kai fa	10
脚本技术	jiao ben ji shu	7
脚本编程	jiao ben bian cheng	9
脚本编程语言	jiao ben bian cheng yu yan	1
脚本语言编程	jiao ben yu yan bian cheng	2
脚本错误	jiao ben cuo wu	3
脱机处理	tuo ji chu li	6
脱机工作	tuo ji gong zuo	7
脸部识别	lian bu shi bie	29
腾讯开放平台	teng xun kai fang ping tai	3
腾讯笔试	teng xun bi shi	8
腾讯笔试题	teng xun bi shi ti	7
自主可控	zi zhu ke kong	17
自主安全	zi zhu an quan	2
自主系统	zi zhu xi tong	29
自主访问控制	zi zhu fang wen kong zhi	22
自作用	zi zuo yong	5
自制操作系统	zi zhi cao zuo xi tong	2
自动上传	zi dong shang chuan	22
自动分类	zi dong fen lei	28
自动分词	zi dong fen ci	5
自动分页	zi dong fen ye	1
自动切分	zi dong qie fen	9
自动刷新	zi dong shua xin	32
自动加载	zi dong jia zai	20
自动化构建	zi dong hua gou jian	30
自动化运维	zi dong hua yun wei	2
自动化部署	zi dong hua bu shu	3
自动回发	zi dong hui fa	5
自动填充	zi dong tian chong	15
自动备份	zi dong bei fen	44
自动寻路	zi dong xun lu	8
自动布局	zi dong bu ju	3
自动布线	zi dong bu xian	3
自动并行化	zi dong bing xing hua	2
自动建表	zi dong jian biao	10
自动开票	zi dong kai piao	6
自动引用计数	zi dong yin yong ji shu	5
自动打包	zi dong da bao	4
自动拆箱	zi dong chai xiang	3
自动挂载	zi dong gua zai	7
自动换行	zi dong huan hang	22
自动控制原理	zi dong kong zhi yuan li	11
自动推理	zi dong tui li	28
自动提示	zi dong ti shi	25
自动文摘	zi dong wen zhai	2
自动构建	zi dong gou jian	13
自动检验	zi dong jian yan	3
自动测试	zi dong ce shi	28
自动滚动	zi dong gun dong	4
自动生成代码	zi dong sheng cheng dai ma	4
自动登录	zi dong deng lu	34
自动登陆	zi dong deng lu	7
自动程序设计	zi dong cheng xu she ji	6
自动绘图	zi dong hui tu	3
自动编号	zi dong bian hao	3
自动编译	zi dong bian yi	6
自动补偿	zi dong bu chang	12
自动补全	zi dong bu quan	26
自动装箱	zi dong zhuang xiang	12
自动装配	zi dong zhuang pei	2
自动记忆	zi dong ji yi	11
自动跳转	zi dong tiao zhuan	33
自动轮播	zi dong lun bo	10
自动运维	zi dong yun wei	8
自动部署	zi dong bu shu	8
自动释放池	zi dong shi fang chi	13
自动重连	zi dong chong lian	2
自动高亮	zi dong gao liang	9
自反传递闭包	zi fan chuan di bi bao	8
自同步	zi tong bu	7
自启动	zi qi dong	42
自增	zi zeng	40
自增列	zi zeng lie	11
自增自减	zi zeng zi jian	10
自增长	zi zeng zhang	4
自定义事件	zi ding yi shi jian	1
自定义函数	zi ding yi han shu	9
自定义动画	zi ding yi dong hua	12
自定义单元格	zi ding yi dan yuan ge	6
自定义字体	zi ding yi zi ti	6
自定义对话框	zi ding yi dui hua kuang	11
自定义对象	zi ding yi dui xiang	3
自定义导航栏	zi ding yi dao hang lan	9
自定义属性	zi ding yi shu xing	6
自定义布局	zi ding yi bu ju	1
自定义异常	zi ding yi yi chang	13
自定义拦截器	zi ding yi lan jie qi	11
自定义指令	zi ding yi zhi ling	3
自定义按钮	zi ding yi an niu	11
自定义排序	zi ding yi pai xu	11
自定义控件	zi ding yi kong jian	1
自定义插件	zi ding yi cha jian	3
自定义方法	zi ding yi fang fa	1
自定义权限	zi ding yi quan xian	1
自定义标签	zi ding yi biao qian	8
自定义样式	zi ding yi yang shi	5
自定义注解	zi ding yi zhu jie	1
自定义消息	zi ding yi xiao xi	1
自定义滚动条	zi ding yi gun dong tiao	8
自定义界面	zi ding yi jie mian	10
自定义相机	zi ding yi xiang ji	9
自定义类	zi ding yi lei	1
自定义类型	zi ding yi lei xing	9
自定义组件	zi ding yi zu jian	4
自定义背景	zi ding yi bei jing	7
自定义菜单	zi ding yi cai dan	1
自定义表单	zi ding yi biao dan	9
自定义视图	zi ding yi shi tu	2
自定义进度条	zi ding yi jin du tiao	9
自定义适配器	zi ding yi shi pei qi	11
自定义键盘	zi ding yi jian pan	10
自底向上	zi di xiang shang	31
自底向上方法	zi di xiang shang fang fa	1
自引用	zi yin yong	12
自描述	zi miao shu	11
自描述性	zi miao shu xing	2
自旋锁	zi xuan suo	34
自模型	zi mo xing	5
自治系统	zi zhi xi tong	10
自测试	zi ce shi	8
自然序	zi ran xu	2
自然推理	zi ran tui li	1
自然数幂和	zi ran shu mi he	7
自然纹理	zi ran wen li	5
自然联结	zi ran lian jie	6
自然语言理解	zi ran yu yan li jie	42
自然语言生成	zi ran yu yan sheng cheng	22
自然语言语法	zi ran yu yan yu fa	2
自由曲线	zi you qu xian	3
自由曲面	zi you qu mian	11
自由模式	zi you mo shi	8
自由节点	zi you jie dian	5
自由表	zi you biao	7
自组织映射	zi zu zhi ying she	12
自组织系统	zi zu zhi xi tong	8
自绘	zi hui	15
自绘控件	zi hui kong jian	9
自联结	zi lian jie	7
自解压	zi jie ya	11
自调整	zi tiao zheng	8
自连接	zi lian jie	11
自适应大小	zi shi ying da xiao	10
自适应屏幕	zi shi ying ping mu	1
自适应布局	zi shi ying bu ju	1
自适应性	zi shi ying xing	7
自适应高度	zi shi ying gao du	11
自顶向下	zi ding xiang xia	36
自顶向下方法	zi ding xiang xia fang fa	3
自顶向下测试	zi ding xiang xia ce shi	5
自顶向下设计	zi ding xiang xia she ji	1
舆情分析	yu qing fen xi	19
舞蹈链	wu dao lian	15
航班查询接口	hang ban cha xun jie kou	6
色平衡	se ping heng	1
色度图	se du tu	14
色度坐标	se du zuo biao	5
色度学	se du xue	11
色彩范围	se cai fan wei	13
色模型	se mo xing	3
色空间	se kong jian	8
色调分离	se diao fen li	17
色键	se jian	36
艺萌管家	yi meng guan jia	6
节点删除	jie dian shan chu	2
节点操作	jie dian cao zuo	2
节能模式	jie neng mo shi	19
花指令	hua zhi ling	9
花生壳	hua sheng ke	15
英文资料翻译	ying wen zi liao fan yi	5
英特尔架构	ying te er jia gou	8
苹果官方文档	ping guo guan fang wen dang	11
苹果审核	ping guo shen he	4
苹果应用商店	ping guo ying yong shang dian	22
苹果开发	ping guo kai fa	6
苹果支付	ping guo zhi fu	3
范例表示	fan li biao shi	3
范围变量	fan wei bian liang	1
范围界限	fan wei jie xian	6
范型	fan xing	12
莫比乌斯函数	mo bi wu si han shu	4
莫比乌斯反演	mo bi wu si fan yan	4
莫队算法	mo dui suan fa	10
获取值	huo qu zhi	6
获取参数	huo qu can shu	4
获取图片	huo qu tu pian	1
获取当前时间	huo qu dang qian shi jian	13
获取数据	huo qu shu ju	42
获取时间	huo qu shi jian	8
获取标签	huo qu biao qian	11
获取焦点	huo qu jiao dian	13
获取版本号	huo qu ban ben hao	10
获取用户信息	huo qu yong hu xin xi	12
获取系统时间	huo qu xi tong shi jian	1
获取网络图片	huo qu wang luo tu pian	10
获取联系人	huo qu lian xi ren	11
获取路径	huo qu lu jing	12
获取过程	huo qu guo cheng	5
菊花链	ju hua lian	20
菜单栏	cai dan lan	34
菜单项	cai dan xiang	24
菲波那切数列	fei bo na qie shu lie	7
蓝桥杯大赛	lan qiao bei da sai	5
蓝桥杯比赛	lan qiao bei bi sai	6
蓝桥杯省赛	lan qiao bei sheng sai	6
蓝海卓越	lan hai zhuo yue	5
蓝牙低功耗	lan ya di gong hao	34
蓝牙协议	lan ya xie yi	8
蓝牙开发	lan ya kai fa	10
蓝牙通信	lan ya tong xin	3
薄膜晶体管	bao mo jing ti guan	12
薄膜键盘	bao mo jian pan	13
蘑菇街	mo gu jie	36
虚函数表	xu han shu biao	14
虚参数	xu can shu	6
虚基类	xu ji lei	42
虚存机制	xu cun ji zhi	5
虚存系统	xu cun xi tong	6
虚引用	xu yin yong	9
虚拟专用网	xu ni zhuan yong wang	22
虚拟专用网络	xu ni zhuan yong wang luo	21
虚拟串口	xu ni chuan kou	10
虚拟企业	xu ni qi ye	2
虚拟光盘	xu ni guang pan	1
虚拟光驱	xu ni guang qu	10
虚拟制造	xu ni zhi zao	4
虚拟图书馆	xu ni tu shu guan	42
虚拟处理器	xu ni chu li qi	2
虚拟存储	xu ni cun chu	6
虚拟存储器	xu ni cun chu qi	3
虚拟存储管理	xu ni cun chu guan li	8
虚拟寻址	xu ni xun zhi	1
虚拟局域网	xu ni ju yu wang	22
虚拟库	xu ni ku	2
虚拟成员	xu ni cheng yuan	9
虚拟技术	xu ni ji shu	31
虚拟控制台	xu ni kong zhi tai	3
虚拟摇杆	xu ni yao gan	8
虚拟操作系统	xu ni cao zuo xi tong	8
虚拟文件系统	xu ni wen jian xi tong	34
虚拟方式	xu ni fang shi	3
虚拟机安装	xu ni ji an zhuang	11
虚拟现实技术	xu ni xian shi ji shu	45
虚拟用户	xu ni yong hu	2
虚拟盘	xu ni pan	4
虚拟目录	xu ni mu lu	3
虚拟磁盘	xu ni ci pan	25
虚拟系统	xu ni xi tong	26
虚拟继承	xu ni ji cheng	3
虚拟装配	xu ni zhuang pei	1
虚拟视点	xu ni shi dian	5
虚拟计算机	xu ni ji suan ji	6
虚拟路径	xu ni lu jing	3
虚拟软盘	xu ni ruan pan	7
虚指针	xu zhi zhen	12
虚方法	xu fang fa	17
虚析构函数	xu xi gou han shu	1
虚树	xu shu	1
虚电路	xu dian lu	21
虚继承	xu ji cheng	45
虚表	xu biao	41
虚通道	xu tong dao	1
虚页号	xu ye hao	5
虹膜识别	hong mo shi bie	10
蚁群算法	yi qun suan fa	15
蚂蚁感冒	ma yi gan mao	8
蛇形填数	she xing tian shu	8
蛇形矩阵	she xing ju zhen	8
螺旋模型	luo xuan mo xing	25
螺旋矩阵	luo xuan ju zhen	9
行业信息	hang ye xin xi	5
行业数据	hang ye shu ju	12
行业趋势	hang ye qu shi	4
行业软件	hang ye ruan jian	7
行为主体	xing wei zhu ti	34
行为动画	xing wei dong hua	6
行为型模式	xing wei xing mo shi	5
行为树	xing wei shu	11
行为模型	xing wei mo xing	20
行为识别	xing wei shi bie	3
行人检测	xing ren jian ce	9
行人识别	xing ren shi bie	1
行内元素	xing nei yuan su	3
行列转换	xing lie zhuan huan	9
行地址	xing di zhi	2
行地址选通	xing di zhi xuan tong	6
行情分析	hang qing fen xi	2
行扫描	xing sao miao	3
行程编码	xing cheng bian ma	3
行程长度	xing cheng chang du	7
行程长度编码	xing cheng chang du bian ma	8
行缓冲	xing huan chong	11
行编辑	xing bian ji	10
行转列	xing zhuan lie	1
行间距	hang jian ju	12
行高	hang gao	13
补偿事务	bu chang shi wu	3
补间动画	bu jian dong hua	12
表关联	biao guan lian	1
表分区	biao fen qu	4
表单提交	biao dan ti jiao	5
表单校验	biao dan jiao yan	9
表单美化	biao dan mei hua	6
表单验证	biao dan yan zheng	8
表名	biao ming	16
表处理	biao chu li	9
表处理语言	biao chu li yu yan	1
表复制	biao fu zhi	10
表布局	biao bu ju	2
表情识别	biao qing shi bie	2
表数据	biao shu ju	26
表格布局	biao ge bu ju	3
表格控件	biao ge kong jian	3
表格操作	biao ge cao zuo	1
表现层	biao xian ceng	39
表示图	biao shi tu	11
表示层	biao shi ceng	13
表空间	biao kong jian	41
表约束	biao yue shu	9
表结构	biao jie gou	20
表视图	biao shi tu	1
表达式树	biao da shi shu	10
表达式计算	biao da shi ji suan	6
表达式语言	biao da shi yu yan	41
表连接	biao lian jie	7
表面安装技术	biao mian an zhuang ji shu	24
衰减时间	shuai jian shi jian	15
被调用者	bei diao yong zhe	20
裁剪图片	cai jian tu pian	1
装入模块	zhuang ru mo kuai	2
装入程序	zhuang ru cheng xu	2
装箱拆箱	zhuang xiang chai xiang	1
装箱问题	zhuang xiang wen ti	2
装配件	zhuang pei jian	21
装配图	zhuang pei tu	11
装饰器模式	zhuang shi qi mo shi	12
装饰模式	zhuang shi mo shi	5
装饰者模式	zhuang shi zhe mo shi	11
装饰设计模式	zhuang shi she ji mo shi	11
裸机开发	luo ji kai fa	8
裸机程序	luo ji cheng xu	10
裸板程序	luo ban cheng xu	8
裸设备	luo she bei	14
裸题	luo ti	12
覆盖测试	fu gai ce shi	8
观察者模式	guan cha zhe mo shi	19
规划系统	gui hua xi tong	8
规则库	gui ze ku	2
规则引擎	gui ze yin qing	10
规则推理	gui ze tui li	2
规则集	gui ze ji	34
规格化处理	gui ge hua chu li	5
规格说明	gui ge shuo ming	31
规模估计	gui mo gu ji	5
规范名	gui fan ming	8
视向	shi xiang	5
视图切换	shi tu qie huan	1
视图动画	shi tu dong hua	10
视图开发	shi tu kai fa	6
视图控件	shi tu kong jian	12
视图控制器	shi tu kong zhi qi	1
视图框架	shi tu kuang jia	9
视图状态	shi tu zhuang tai	2
视图解析器	shi tu jie xi qi	13
视平面	shi ping mian	2
视窗操作系统	shi chuang cao zuo xi tong	24
视觉模型	shi jue mo xing	6
视觉算法	shi jue suan fa	2
视觉设计师	shi jue she ji shi	18
视觉跟踪	shi jue gen zong	4
视音频编解码	shi yin pin bian jie ma	8
视频下载	shi pin xia zai	9
视频云	shi pin yun	1
视频会议开发	shi pin hui yi kai fa	5
视频会议系统	shi pin hui yi xi tong	10
视频传输	shi pin chuan shu	12
视频加密	shi pin jia mi	2
视频卡	shi pin ka	9
视频图像	shi pin tu xiang	25
视频图像处理	shi pin tu xiang chu li	1
视频图形阵列	shi pin tu xing zhen lie	7
视频处理	shi pin chu li	38
视频多媒体	shi pin duo mei ti	1
视频存储器	shi pin cun chu qi	6
视频广告	shi pin guang gao	35
视频开发	shi pin kai fa	8
视频插件	shi pin cha jian	8
视频播放器	shi pin bo fang qi	30
视频教程	shi pin jiao cheng	15
视频模式	shi pin mo shi	7
视频消息	shi pin xiao xi	6
视频缓冲区	shi pin huan chong qu	8
视频编解码	shi pin bian jie ma	13
视频缩略图	shi pin suo lve tu	1
视频聊天	shi pin liao tian	34
视频解码	shi pin jie ma	21
视频质量评价	shi pin zhi liang ping jia	1
视频转换	shi pin zhuan huan	16
视频追踪	shi pin zhui zong	5
视频采集	shi pin cai ji	11
角点	jiao dian	12
角点检测	jiao dian jian ce	11
解决报错	jie jue bao cuo	8
解包	jie bao	48
解压文件	jie ya wen jian	7
解压版	jie ya ban	10
解析数据	jie xi shu ju	7
解释器模式	jie shi qi mo shi	1
解释型语言	jie shi xing yu yan	16
解释程序	jie shi cheng xu	8
解锁数据库	jie suo shu ju ku	5
解除分配	jie chu fen pei	10
解题报告	jie ti bao gao	13
触发对象	chu fa dui xiang	10
触屏事件	chu ping shi jian	11
触摸事件	chu mo shi jian	1
触摸机制	chu mo ji zhi	8
警告框	jing gao kuang	12
计划任务	ji hua ren wu	13
计数排序	ji shu pai xu	14
计时类	ji shi lei	2
计次循环尾	ji ci xun huan wei	6
计次循环首	ji ci xun huan shou	6
计算使用	ji suan shi yong	10
计算几何基础	ji suan ji he ji chu	7
计算几何知识	ji suan ji he zhi shi	5
计算广告学	ji suan guang gao xue	9
计算引擎	ji suan yin qing	49
计算弹道	ji suan dan dao	11
计算性能	ji suan xing neng	22
计算排序	ji suan pai xu	1
计算数目	ji suan shu mu	4
计算智能	ji suan zhi neng	20
计算机下棋	ji suan ji xia qi	5
计算机书籍	ji suan ji shu ji	2
计算机产业	ji suan ji chan ye	14
计算机体系	ji suan ji ti xi	5
计算机原理	ji suan ji yuan li	6
计算机名	ji suan ji ming	12
计算机图书	ji suan ji tu shu	2
计算机图像	ji suan ji tu xiang	24
计算机基础	ji suan ji ji chu	29
计算机基础课	ji suan ji ji chu ke	5
计算机字	ji suan ji zi	1
计算机实现	ji suan ji shi xian	13
计算机常识	ji suan ji chang shi	6
计算机性能	ji suan ji xing neng	18
计算机技能	ji suan ji ji neng	5
计算机数学	ji suan ji shu xue	3
计算机数据	ji suan ji shu ju	24
计算机文化	ji suan ji wen hua	7
计算机显示	ji suan ji xian shi	13
计算机概论	ji suan ji gai lun	11
计算机犯罪	ji suan ji fan zui	17
计算机理解	ji suan ji li jie	2
计算机理论	ji suan ji li lun	18
计算机科普	ji suan ji ke pu	5
计算机算法	ji suan ji suan fa	35
计算机管理	ji suan ji guan li	39
计算机类	ji suan ji lei	25
计算机类型	ji suan ji lei xing	3
计算机组成	ji suan ji zu cheng	20
计算机结构	ji suan ji jie gou	18
计算机绘图	ji suan ji hui tu	27
计算机维修	ji suan ji wei xiu	2
计算机维护	ji suan ji wei hu	2
计算机艺术	ji suan ji yi shu	13
计算机英语	ji suan ji ying yu	1
计算机资源	ji suan ji zi yuan	25
计算机配置	ji suan ji pei zhi	4
计算机问题	ji suan ji wen ti	7
计算构架	ji suan gou jia	5
计算程序	ji suan cheng xu	45
计算策略	ji suan ce lve	2
计算系统	ji suan xi tong	11
计算表达式	ji suan biao da shi	13
计算视觉	ji suan shi jue	1
计算逻辑	ji suan luo ji	15
计网	ji wang	5
计蒜客	ji suan ke	9
订单系统	ding dan xi tong	3
订票系统	ding piao xi tong	26
订阅号	ding yue hao	21
订餐系统	ding can xi tong	3
认知机	ren zhi ji	5
认知模型	ren zhi mo xing	42
认知系统	ren zhi xi tong	41
认证模式	ren zheng mo shi	6
认证链	ren zheng lian	1
训练分类器	xun lian fen lei qi	6
训练指南	xun lian zhi nan	5
讯飞语音	xun fei yu yin	5
记事本开发	ji shi ben kai fa	8
记住密码	ji zhu mi ma	13
记录块	ji lu kuai	8
记录方式	ji lu fang shi	10
记录日志	ji lu ri zhi	8
记录测量	ji lu ce liang	1
记录路径	ji lu lu jing	2
记录锁	ji lu suo	1
记录锁定	ji lu suo ding	8
记忆化	ji yi hua	23
记忆化搜索	ji yi hua sou suo	13
记忆训练	ji yi xun lian	5
记法	ji fa	11
记账码	ji zhang ma	5
论文排版	lun wen pai ban	5
论文翻译	lun wen fan yi	14
论文阅读	lun wen yue du	7
设备信息	she bei xin xi	6
设备功能	she bei gong neng	15
设备号	she bei hao	13
设备名	she bei ming	13
设备坐标	she bei zuo biao	1
设备坐标系	she bei zuo biao xi	2
设备型号	she bei xing hao	31
设备存储器	she bei cun chu qi	7
设备定义	she bei ding yi	6
设备控件	she bei kong jian	5
设备描述	she bei miao shu	9
设备树	she bei shu	1
设备模型	she bei mo xing	9
设备筛选器	she bei shai xuan qi	5
设备管理	she bei guan li	12
设备节点	she bei jie dian	26
设备适配器	she bei shi pei qi	6
