# 微明领域词库：成语，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
人为刀俎我为鱼肉	ren wei dao zu wo wei yu rou	8
人为财死	ren wei cai si	5
人之将死	ren zhi jiang si	10
人之将死其言也善	ren zhi jiang si qi yan ye shan	6
人事不省	ren shi bu xing	6
人事不知	ren shi bu zhi	5
人五人六	ren wu ren liu	11
人亡政息	ren wang zheng xi	20
人人得而诛之	ren ren de er zhu zhi	45
人人有份	ren ren you fen	41
人人皆知	ren ren jie zhi	49
人同此心	ren tong ci xin	4
人多口杂	ren duo kou za	8
人多手杂	ren duo shou za	5
人多眼杂	ren duo yan za	9
人弃我取	ren qi wo qu	6
人心不足蛇吞象	ren xin bu zu she tun xiang	28
人心叵测	ren xin po ce	46
人心大快	ren xin da kuai	3
人心惟危	ren xin wei wei	10
人心涣散	ren xin huan san	33
人心齐泰山移	ren xin qi tai shan yi	6
人怕出名猪怕壮	ren pa chu ming zhu pa zhuang	47
人情世态	ren qing shi tai	8
人情之常	ren qing zhi chang	1
人才难得	ren cai nan de	14
人无远虑	ren wu yuan lv	12
人无远虑必有近忧	ren wu yuan lv bi you jin you	19
人有旦夕祸福	ren you dan xi huo fu	8
人来客往	ren lai ke wang	6
人活一张脸	ren huo yi zhang lian	8
人生七十古来稀	ren sheng qi shi gu lai xi	5
人生自古谁无死	ren sheng zi gu shei wu si	9
人生路不熟	ren sheng lu bu shu	21
人穷志不短	ren qiong zhi bu duan	11
人穷志短	ren qiong zhi duan	39
人而无信	ren er wu xin	1
人财两失	ren cai liang shi	11
人逢喜事精神爽	ren feng xi shi jing shen shuang	1
人间天上	ren jian tian shang	11
人间重晚晴	ren jian zhong wan qing	3
人非圣贤	ren fei sheng xian	37
人非草木	ren fei cao mu	17
仁民爱物	ren min ai wu	15
仁者乐山	ren zhe le shan	18
仆仆风尘	pu pu feng chen	4
仇人相见	chou ren xiang jian	6
仇人相见分外眼红	chou ren xiang jian fen wai yan hong	6
仇深似海	chou shen si hai	13
今不如昔	jin bu ru xi	10
今夕何夕	jin xi he xi	33
从中渔利	cong zhong yu li	24
从善如登	cong shan ru deng	2
从容就义	cong rong jiu yi	32
从容应对	cong rong ying dui	19
从容自在	cong rong zi zai	3
从容自如	cong rong zi ru	2
从容自若	cong rong zi ruo	4
从宽发落	cong kuan fa luo	9
从心所欲	cong xin suo yu	37
从恶如崩	cong e ru beng	3
从谏如流	cong jian ru liu	6
仓皇出逃	cang huang chu tao	27
仓皇失措	cang huang shi cuo	12
他乡遇故知	ta xiang yu gu zhi	46
他山之石	ta shan zhi shi	23
付之流水	fu zhi liu shui	5
付诸一炬	fu zhu yi ju	41
付诸一笑	fu zhu yi xiao	1
仙山琼阁	xian shan qiong ge	2
代人受过	dai ren shou guo	9
令人咋舌	ling ren ze she	33
令人喷饭	ling ren pen fan	4
令人起敬	ling ren qi jing	2
令人齿冷	ling ren chi leng	2
令出如山	ling chu ru shan	6
令出必行	ling chu bi xing	3
以丰补歉	yi feng bu qian	1
以人为鉴	yi ren wei jian	1
以人为镜	yi ren wei jing	5
以其昏昏	yi qi hun hun	1
以其昏昏使人昭昭	yi qi hun hun shi ren zhao zhao	6
以勤补拙	yi qin bu zhuo	1
以古为鉴	yi gu wei jian	3
以古为镜	yi gu wei jing	6
以古喻今	yi gu yu jin	3
以天下为己任	yi tian xia wei ji ren	32
以夷制夷	yi yi zhi yi	34
以子之矛	yi zi zhi mao	6
以子之矛攻子之盾	yi zi zhi mao gong zi zhi dun	2
以守为攻	yi shou wei gong	9
以小人之心	yi xiao ren zhi xin	35
以己度人	yi ji duo ren	44
以德报德	yi de bao de	33
以心传心	yi xin chuan xin	20
以战养战	yi zhan yang zhan	31
以文会友	yi wen hui you	42
以点带面	yi dian dai mian	14
以直报怨	yi zhi bao yuan	26
以管窥豹	yi guan kui bao	1
以身报国	yi shen bao guo	12
以身试险	yi shen shi xian	10
仪态万千	yi tai wan qian	13
仰不愧天	yang bu kui tian	1
仰之弥高	yang zhi mi gao	12
仰面朝天	yang mian chao tian	8
任凭风浪起	ren ping feng lang qi	8
伉俪情深	kang li qing shen	14
众人拾柴火焰高	zhong ren shi chai huo yan gao	21
众口相传	zhong kou xiang chuan	2
优哉游哉	you zai you zai	20
优胜劣败	you sheng lie bai	14
传为笑谈	chuan wei xiao tan	9
传诵一时	chuan song yi shi	19
伯乐相马	bo le xiang ma	8
似笑非笑	si xiao fei xiao	22
但求无过	dan qiu wu guo	6
低吟浅唱	di yin qian chang	10
低声细语	di sheng xi yu	11
低头哈腰	di tou ha yao	5
何乐不为	he le bu wei	13
何其相似乃尔	he qi xiang si nai er	6
何患无辞	he huan wu ci	20
何足为奇	he zu wei qi	3
何足道哉	he zu dao zai	8
余味无穷	yu wei wu qiong	5
余波未平	yu bo wei ping	8
余波荡漾	yu bo dang yang	34
余音缭绕	yu yin liao rao	2
余音袅袅	yu yin niao niao	10
作如是观	zuo ru shi guan	21
你唱我和	ni chang wo he	2
你言我语	ni yan wo yu	6
佳偶天成	jia ou tian cheng	32
依样画葫芦	yi yang hua hu lu	21
依法炮制	yi fa pao zhi	2
依葫芦画瓢	yi hu lu hua piao	13
信口胡言	xin kou hu yan	3
信口胡诌	xin kou hu zhou	6
信笔涂鸦	xin bi tu ya	6
俭以养德	jian yi yang de	6
修心养性	xiu xin yang xing	28
修桥补路	xiu qiao bu lu	7
修齐治平	xiu qi zhi ping	11
俯仰之间	fu yang zhi jian	10
俯仰无愧	fu yang wu kui	7
俯首听命	fu shou ting ming	11
倏忽之间	shu hu zhi jian	4
倚强凌弱	yi qiang ling ruo	2
借古喻今	jie gu yu jin	9
借坡下驴	jie po xia lv	1
借贷无门	jie dai wu men	2
债多不愁	zhai duo bu chou	4
倾囊相助	qing nang xiang zhu	4
