# 微明领域词库：成语，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
由浅入深	you qian ru shen	34
由近及远	you jin ji yuan	25
电光石火	dian guang shi huo	43
男儿膝下有黄金	nan er xi xia you huang jin	12
男大当婚	nan da dang hun	15
男大当婚女大当嫁	nan da dang hun nv da dang jia	11
男婚女嫁	nan hun nv jia	34
男耕女织	nan geng nv zhi	27
画中有诗	hua zhong you shi	14
画栋雕梁	hua dong diao liang	6
画虎不成反类犬	hua hu bu cheng fan lei quan	14
畅行无阻	chang xing wu zu	43
畏罪潜逃	wei zui qian tao	43
留得青山在	liu de qing shan zai	30
留恋不舍	liu lian bu she	5
留有余地	liu you yu di	23
略窥一斑	lve kui yi ban	1
略高一筹	lve gao yi chou	5
畸形发展	ji xing fa zhan	17
畸重畸轻	ji zhong ji qing	1
疏而不漏	shu er bu lou	10
疲乏不堪	pi fa bu kan	6
疾风暴雨	ji feng bao yu	4
疾风知劲草	ji feng zhi jing cao	10
病从口入	bing cong kou ru	4
病急乱投医	bing ji luan tou yi	28
病来如山倒	bing lai ru shan dao	49
病魔缠身	bing mo chan shen	32
痛入骨髓	tong ru gu sui	4
痴男怨女	chi nan yuan nv	34
瘦死的骆驼比马大	shou si de luo tuo bi ma da	9
瘦骨如柴	shou gu ru chai	12
癞蛤蟆想吃天鹅肉	lai ha ma xiang chi tian e rou	1
白云苍狗	bai yun cang gou	26
白刀子进红刀子出	bai dao zi jin hong dao zi chu	2
白发人送黑发人	bai fa ren song hei fa ren	27
白山黑水	bai shan hei shui	25
白手兴家	bai shou xing jia	45
白沙在涅	bai sha zai nie	6
白浪滔天	bai lang tao tian	3
白衣秀士	bai yi xiu shi	19
白费力气	bai fei li qi	37
白首偕老	bai shou xie lao	9
白首方悔读书迟	bai shou fang hui du shu chi	3
百万雄兵	bai wan xiong bing	12
百业萧条	bai ye xiao tiao	29
百媚千娇	bai mei qian jiao	4
百密一疏	bai mi yi shu	25
百尺竿头更进一步	bai chi gan tou geng jin yi bu	5
百岁之后	bai sui zhi hou	3
百川归海	bai chuan gui hai	6
百年之好	bai nian zhi hao	8
百年大业	bai nian da ye	8
百年树人	bai nian shu ren	46
百废俱兴	bai fei ju xing	14
百废待举	bai fei dai ju	47
百弊丛生	bai bi cong sheng	6
百折不屈	bai zhe bu qu	4
百折千回	bai zhe qian hui	6
百无一用	bai wu yi yong	30
百无一用是书生	bai wu yi yong shi shu sheng	16
百病丛生	bai bing cong sheng	3
百端待举	bai duan dai ju	6
百般刁难	bai ban diao nan	48
百般折磨	bai ban zhe mo	11
百花争妍	bai hua zheng yan	2
百花争艳	bai hua zheng yan	15
百花凋零	bai hua diao ling	6
百花生日	bai hua sheng ri	3
百花盛开	bai hua sheng kai	22
百花齐放百家争鸣	bai hua qi fang bai jia zheng ming	3
百读不厌	bai du bu yan	8
百足之虫	bai zu zhi chong	4
百足之虫死而不僵	bai zu zhi chong si er bu jiang	6
皇天不负苦心人	huang tian bu fu ku xin ren	7
皓首穷经	hao shou qiong jing	4
皮之不存	pi zhi bu cun	4
皮之不存毛将焉附	pi zhi bu cun mao jiang yan fu	2
益寿延年	yi shou yan nian	9
盖棺定论	gai guan ding lun	35
盘古开天地	pan gu kai tian di	6
盛名之下	sheng ming zhi xia	11
盛名之下其实难副	sheng ming zhi xia qi shi nan fu	1
目不忍视	mu bu ren shi	14
目不暇给	mu bu xia ji	18
目光炯炯	mu guang jiong jiong	10
目无尊长	mu wu zun zhang	14
目迷五色	mu mi wu se	6
盲人骑瞎马	mang ren qi xia ma	3
直上直下	zhi shang zhi xia	20
直抒己见	zhi shu ji jian	6
直抒胸臆	zhi shu xiong yi	49
直捣黄龙	zhi dao huang long	36
直认不讳	zhi ren bu hui	12
相对无言	xiang dui wu yan	18
相形失色	xiang xing shi se	18
相忍为国	xiang ren wei guo	13
相时而动	xiang shi er dong	5
相机而动	xiang ji er dong	5
相沿成习	xiang yan cheng xi	5
相煎何急	xiang jian he ji	2
相煎太急	xiang jian tai ji	6
相见时难别亦难	xiang jian shi nan bie yi nan	37
相视而笑	xiang shi er xiao	33
相貌堂堂	xiang mao tang tang	42
相逢恨晚	xiang feng hen wan	16
眉头一皱	mei tou yi zhou	34
眉毛胡子一把抓	mei mao hu zi yi ba zhua	1
眉目传情	mei mu chuan qing	34
看家本事	kan jia ben shi	1
看家本领	kan jia ben ling	13
看菜吃饭	kan cai chi fan	1
真人不露相	zhen ren bu lou xiang	41
真伪莫辨	zhen wei mo bian	3
真刀真枪	zhen dao zhen qiang	19
真情实意	zhen qing shi yi	37
真金不怕火炼	zhen jin bu pa huo lian	12
眼中钉肉中刺	yan zhong ding rou zhong ci	6
眼尖手快	yan jian shou kuai	1
眼明心亮	yan ming xin liang	3
眼观六路	yan guan liu lu	12
眼观六路耳听八方	yan guan liu lu er ting ba fang	10
眼观四路	yan guan si lu	2
睁一眼闭一眼	zheng yi yan bi yi yan	15
睚眦必报	ya zi bi bao	36
睥睨一切	pi ni yi qie	2
瞎子摸鱼	xia zi mo yu	7
瞒上欺下	man shang qi xia	6
瞠乎其后	cheng hu qi hou	3
瞬息之间	shun xi zhi jian	12
矢志不移	shi zhi bu yi	8
知其不可而为之	zhi qi bu ke er wei zhi	1
知命之年	zhi ming zhi nian	6
知子莫若父	zhi zi mo ruo fu	7
知彼知己	zhi bi zhi ji	7
知恩报恩	zhi en bao en	4
知情不举	zhi qing bu ju	2
知我罪我	zhi wo zui wo	2
知无不言言无不尽	zhi wu bu yan yan wu bu jin	9
知易行难	zhi yi xing nan	28
知止不殆	zhi zhi bu dai	4
知足不辱	zhi zu bu ru	9
知足知止	zhi zu zhi zhi	1
短小精干	duan xiao jing gan	16
短斤少两	duan jin shao liang	3
砍瓜切菜	kan gua qie cai	3
砥柱中流	di zhu zhong liu	10
破旧立新	po jiu li xin	26
破格录用	po ge lu yong	12
破玩意儿	po wan yi er	33
破竹之势	po zhu zhi shi	17
破门而出	po men er chu	12
础润而雨	chu run er yu	1
硕大无比	shuo da wu bi	10
碎尸万段	sui shi wan duan	41
碧水青山	bi shui qing shan	5
碧空万里	bi kong wan li	2
碧空如洗	bi kong ru xi	7
磨刀不误砍柴工	mo dao bu wu kan chai gong	11
磨嘴皮子	mo zui pi zi	7
礼仪之邦	li yi zhi bang	34
礼崩乐坏	li beng yue huai	34
祛病延年	qu bing yan nian	3
神乎其技	shen hu qi ji	46
神完气足	shen wan qi zu	2
神工鬼斧	shen gong gui fu	3
神思恍惚	shen si huang hu	1
神情恍惚	shen qing huang hu	26
神情自若	shen qing zi ruo	23
神气十足	shen qi shi zu	12
神清气和	shen qing qi he	6
神闲气定	shen xian qi ding	1
祸福相依	huo fu xiang yi	13
福地洞天	fu di dong tian	6
福寿双全	fu shou shuang quan	16
福寿康宁	fu shou kang ning	10
福禄寿喜	fu lu shou xi	25
离乡别井	li xiang bie jing	34
离合悲欢	li he bei huan	5
离奇古怪	li qi gu guai	7
离情别绪	li qing bie xu	7
离题万里	li ti wan li	1
秀才不出门	xiu cai bu chu men	2
秀才造反	xiu cai zao fan	8
私相授受	si xiang shou shou	42
秉公办理	bing gong ban li	12
秉笔直书	bing bi zhi shu	28
秋收冬藏	qiu shou dong cang	30
秋月春风	qiu yue chun feng	10
秋毫无犯	qiu hao wu fan	48
秋水伊人	qiu shui yi ren	33
秋风落叶	qiu feng luo ye	13
种瓜得瓜	zhong gua de gua	20
种瓜得瓜种豆得豆	zhong gua de gua zhong dou de dou	12
种豆得豆	zhong dou de dou	16
积习难改	ji xi nan gai	8
积善之家必有余庆	ji shan zhi jia bi you yu qing	1
积善成德	ji shan cheng de	8
积土成山	ji tu cheng shan	4
积小成大	ji xiao cheng da	1
积毁销骨	ji hui xiao gu	3
积水成渊	ji shui cheng yuan	2
积沙成塔	ji sha cheng ta	7
积谷防饥	ji gu fang ji	3
积非成是	ji fei cheng shi	19
称心满意	chen xin man yi	2
称王称霸	cheng wang cheng ba	24
移山填海	yi shan tian hai	26
稀世之宝	xi shi zhi bao	11
程门立雪	cheng men li xue	12
稍胜一筹	shao sheng yi chou	6
稍逊一筹	shao xun yi chou	17
稳操胜算	wen cao sheng suan	5
穷且益坚	qiong qie yi jian	4
穷则独善其身	qiong ze du shan qi shen	31
穷奢极侈	qiong she ji chi	34
穷家富路	qiong jia fu lu	7
穷寇莫追	qiong kou mo zhui	6
穷山僻壤	qiong shan pi rang	14
穷形尽相	qiong xing jin xiang	2
穷愁潦倒	qiong chou liao dao	8
空口说白话	kong kou shuo bai hua	14
空空道人	kong kong dao ren	5
空话连篇	kong hua lian pian	1
空谷幽兰	kong gu you lan	36
穿红着绿	chuan hong zhuo lv	1
窥见一斑	kui jian yi ban	13
窥豹一斑	kui bao yi ban	1
立业成家	li ye cheng jia	11
立于不败	li yu bu bai	1
立于不败之地	li yu bu bai zhi di	43
立德立言	li de li yan	6
立身行事	li shen xing shi	5
竖子成名	shu zi cheng ming	3
竭尽心力	jie jin xin li	34
竭忠尽智	jie zhong jin zhi	4
竹报平安	zhu bao ping an	29
竹篮打水	zhu lan da shui	10
竹篱茅舍	zhu li mao she	6
笑而不答	xiao er bu da	32
笔下生花	bi xia sheng hua	5
笔酣墨饱	bi han mo bao	1
笨嘴拙舌	ben zui zhuo she	3
笼中之鸟	long zhong zhi niao	10
笼络人心	long luo ren xin	44
等因奉此	deng yin feng ci	1
等闲之辈	deng xian zhi bei	36
管鲍之交	guan bao zhi jiao	7
箭在弦上不得不发	jian zai xian shang bu de bu fa	3
箭无虚发	jian wu xu fa	13
粉妆玉琢	fen zhuang yu zhuo	6
粉妆玉砌	fen zhuang yu qi	6
粗通文墨	cu tong wen mo	7
粥少僧多	zhou shao seng duo	1
粮草先行	liang cao xian xing	4
精力过人	jing li guo ren	7
精妙绝伦	jing miao jue lun	22
精确瞄准	jing que miao zhun	33
精神焕发	jing shen huan fa	14
精神百倍	jing shen bai bei	18
精神矍铄	jing shen jue shuo	23
精美绝伦	jing mei jue lun	40
精诚团结	jing cheng tuan jie	32
精诚所至	jing cheng suo zhi	18
精诚所至金石为开	jing cheng suo zhi jin shi wei kai	12
精锐之师	jing rui zhi shi	18
糟糠之妻不下堂	zao kang zhi qi bu xia tang	5
索然寡味	suo ran gua wei	6
紫气东来	zi qi dong lai	48
繁荣兴旺	fan rong xing wang	26
繁荣富强	fan rong fu qiang	20
纡尊降贵	yu zun jiang gui	11
红袖添香	hong xiu tian xiang	18
纤尘不染	xian chen bu ran	8
纯属骗局	chun shu pian ju	1
纲纪废弛	gang ji fei chi	4
纷纷攘攘	fen fen rang rang	2
纸上得来终觉浅	zhi shang de lai zhong jue qian	16
纸里包不住火	zhi li bao bu zhu huo	3
细微末节	xi wei mo jie	12
终南捷径	zhong nan jie jing	12
终成泡影	zhong cheng pao ying	6
经久不息	jing jiu bu xi	30
经天纬地	jing tian wei di	20
经纬万端	jing wei wan duan	2
经营惨淡	jing ying can dan	16
绝世佳人	jue shi jia ren	1
绝代佳人	jue dai jia ren	30
绝口不谈	jue kou bu tan	11
绝路逢生	jue lu feng sheng	6
绝顶聪明	jue ding cong ming	37
绳锯木断	sheng ju mu duan	1
绵延不断	mian yan bu duan	26
绵绵不断	mian mian bu duan	18
绵绵不绝	mian mian bu jue	24
绿叶成荫	lv ye cheng yin	4
绿林好汉	lv lin hao han	40
绿肥红瘦	lv fei hong shou	12
绿草如茵	lv cao ru yin	24
缄口不言	jian kou bu yan	15
缓不济急	huan bu ji ji	36
缩衣节食	suo yi jie shi	9
缺吃少穿	que chi shao chuan	3
缺衣少食	que yi shao shi	17
罚不当罪	fa bu dang zui	6
罪加一等	zui jia yi deng	11
罪恶深重	zui e shen zhong	17
罪恶滔天	zui e tao tian	11
罪责难逃	zui ze nan tao	10
置之不顾	zhi zhi bu gu	19
置之死地	zhi zhi si di	20
置之死地而后快	zhi zhi si di er hou kuai	7
置之死地而后生	zhi zhi si di er hou sheng	16
羊续悬鱼	yang xu xuan yu	6
羊肠小径	yang chang xiao jing	23
美人迟暮	mei ren chi mu	14
羚羊挂角	ling yang gua jiao	9
群而不党	qun er bu dang	4
群英荟萃	qun ying hui cui	26
群起效尤	qun qi xiao you	5
群起而攻之	qun qi er gong zhi	30
群雄逐鹿	qun xiong zhu lu	31
羽毛丰满	yu mao feng man	4
翩翩公子	pian pian gong zi	14
翩翩少年	pian pian shao nian	29
翩翩风度	pian pian feng du	3
翩若惊鸿	pian ruo jing hong	8
翻手为云	fan shou wei yun	8
翻手为云覆手为雨	fan shou wei yun fu shou wei yu	3
翻箱倒箧	fan xiang dao qie	4
老之将至	lao zhi jiang zhi	7
老僧入定	lao seng ru ding	5
老子英雄儿好汉	lao zi ying xiong er hao han	17
老有所终	lao you suo zhong	6
老王卖瓜	lao wang mai gua	7
老鼠过街	lao shu guo jie	4
老鼠过街人人喊打	lao shu guo jie ren ren han da	4
耐人咀嚼	nai ren ju jue	1
耳听八方	er ting ba fang	19
耳朵起茧	er duo qi jian	10
耳根清净	er gen qing jing	9
耳顺之年	er shun zhi nian	13
耸入云霄	song ru yun xiao	3
耿耿忠心	geng geng zhong xin	4
聊备一格	liao bei yi ge	9
聚众滋事	ju zhong zi shi	18
聚少成多	ju shao cheng duo	7
聪明一世	cong ming yi shi	10
聪明反被聪明误	cong ming fan bei cong ming wu	43
聪明智慧	cong ming zhi hui	29
聪明睿智	cong ming rui zhi	30
聪明能干	cong ming neng gan	37
聪明过人	cong ming guo ren	48
聪颖过人	cong ying guo ren	35
肆意横行	si yi heng xing	15
肆虐横行	si nve heng xing	3
肉眼凡胎	rou yan fan tai	3
肉食者鄙	rou shi zhe bi	3
股掌之上	gu zhang zhi shang	10
肤如凝脂	fu ru ning zhi	26
胜不骄败不馁	sheng bu jiao bai bu nei	5
胜友如云	sheng you ru yun	2
胜读十年书	sheng du shi nian shu	45
胜败乃兵家常事	sheng bai nai bing jia chang shi	21
胯下之辱	kua xia zhi ru	8
胸中块垒	xiong zhong kuai lei	2
胸中有数	xiong zhong you shu	1
胸有丘壑	xiong you qiu he	5
能者为师	neng zhe wei shi	2
脉络分明	mai luo fen ming	3
脉脉含情	mo mo han qing	5
脍不厌细	kuai bu yan xi	3
脚不沾地	jiao bu zhan di	22
脚不点地	jiao bu dian di	6
脱缰之马	tuo jiang zhi ma	1
脸红耳热	lian hong er re	2
脸红耳赤	lian hong er chi	7
腹心之疾	fu xin zhi ji	3
腾空而起	teng kong er qi	25
膏腴之地	gao yu zhi di	12
自以为得计	zi yi wei de ji	1
自出机杼	zi chu ji zhu	6
自命清高	zi ming qing gao	27
自我治疗	zi wo zhi liao	36
自掘坟墓	zi jue fen mu	35
自有公论	zi you gong lun	19
自由泛滥	zi you fan lan	6
自觉自愿	zi jue zi yuan	18
臭不可闻	chou bu ke wen	19
臭名昭彰	chou ming zhao zhang	37
至亲好友	zhi qin hao you	35
至亲骨肉	zhi qin gu rou	5
舌战群儒	she zhan qun ru	24
舍命救人	she ming jiu ren	4
舍命陪君子	she ming pei jun zi	39
舍己为公	she ji wei gong	6
舍得一身剐	she de yi shen gua	5
舍本求末	she ben qiu mo	8
舍身为国	she shen wei guo	3
舍身成仁	she shen cheng ren	8
船坚炮利	chuan jian pao li	27
良知良能	liang zhi liang neng	3
良禽择木	liang qin ze mu	5
良莠不分	liang you bu fen	2
良辰吉日	liang chen ji ri	23
艰深晦涩	jian shen hui se	8
艰苦创业	jian ku chuang ye	47
艰难曲折	jian nan qu zhe	9
色胆包天	se dan bao tian	6
艺高胆大	yi gao dan da	13
芙蓉出水	fu rong chu shui	3
芝兰之室	zhi lan zhi shi	2
芬芳馥郁	fen fang fu yu	3
花无百日红	hua wu bai ri hong	7
花样百出	hua yang bai chu	23
花甲之年	hua jia zhi nian	36
花红柳绿	hua hong liu lv	17
花花型警	hua hua xing jing	13
花香鸟语	hua xiang niao yu	5
苍松翠柏	cang song cui bai	10
苍白无力	cang bai wu li	21
苍翠欲滴	cang cui yu di	4
若有所悟	ruo you suo wu	5
若烹小鲜	ruo peng xiao xian	4
若要人不知	ruo yao ren bu zhi	29
苦不聊生	ku bu liao sheng	7
苦乐不均	ku le bu jun	3
苦口良药	ku kou liang yao	43
苦心积虑	ku xin ji lv	2
苦难深重	ku nan shen zhong	2
英姿勃勃	ying zi bo bo	8
英姿焕发	ying zi huan fa	8
英雄无用武之地	ying xiong wu yong wu zhi di	8
英雄辈出	ying xiong bei chu	8
茂林修竹	mao lin xiu zhu	24
荆楚岁时记	jing chu sui shi ji	35
草率从事	cao shuai cong shi	3
草船借箭	cao chuan jie jian	20
草草了事	cao cao liao shi	30
草草收兵	cao cao shou bing	7
草蛇灰线	cao she hui xian	6
草长莺飞	cao zhang ying fei	1
荒唐无稽	huang tang wu ji	14
荒淫无度	huang yin wu du	49
荒淫无耻	huang yin wu chi	8
荟萃一堂	hui cui yi tang	7
荦荦大端	luo luo da duan	1
荦荦大者	luo luo da zhe	3
莫可奈何	mo ke nai he	16
获益匪浅	huo yi fei qian	29
莺飞草长	ying fei cao zhang	1
落拓不羁	luo tuo bu ji	7
落日余晖	luo ri yu hui	20
落花有意	luo hua you yi	33
落花有意流水无情	luo hua you yi liu shui wu qing	7
落英缤纷	luo ying bin fen	24
落草为寇	luo cao wei kou	40
蓬生麻中	peng sheng ma zhong	1
蓬荜生辉	peng bi sheng hui	27
蓬蓬勃勃	peng peng bo bo	2
蔚成风气	wei cheng feng qi	1
薄技在身	bo ji zai shen	1
薪尽火传	xin jin huo chuan	5
藏之名山	cang zhi ming shan	4
虎口逃生	hu kou tao sheng	2
虎落平阳	hu luo ping yang	22
虚度年华	xu du nian hua	23
虚晃一枪	xu huang yi qiang	9
虚虚实实	xu xu shi shi	29
虱多不痒	shi duo bu yang	1
虽死犹生	sui si you sheng	13
蚁穴溃堤	yi xue kui di	6
蚍蜉撼树	pi fu han shu	4
蚕食鲸吞	can shi jing tun	9
蛇蝎心肠	she xie xin chang	30
蛮横无理	man heng wu li	36
蜀中无大将	shu zhong wu da jiang	8
蜂拥而入	feng yong er ru	20
蜂拥而出	feng yong er chu	12
蜂拥而来	feng yong er lai	23
蜕化变质	tui hua bian zhi	7
蜚短流长	fei duan liu chang	14
蝇头小利	ying tou xiao li	22
蝇头小楷	ying tou xiao kai	4
螳臂挡车	tang bi dang che	16
螳螂捕蝉	tang lang bu chan	37
螳螂捕蝉黄雀在后	tang lang bu chan huang que zai hou	16
蟾宫折桂	chan gong zhe gui	5
血债累累	xue zhai lei lei	2
血光之灾	xue guang zhi zai	14
血性男儿	xue xing nan er	4
血染沙场	xue ran sha chang	3
血泪斑斑	xue lei ban ban	3
行不更名	xing bu geng ming	11
行己有耻	xing ji you chi	6
行有余力	xing you yu li	10
行百里者半九十	xing bai li zhe ban jiu shi	14
行而不远	xing er bu yuan	7
行行出状元	hang hang chu zhuang yuan	45
街坊四邻	jie fang si lin	5
街坊邻里	jie fang lin li	18
街头巷议	jie tou xiang yi	7
衣来伸手	yi lai shen shou	12
衣来伸手饭来张口	yi lai shen shou fan lai zhang kou	18
衣锦夜行	yi jin ye xing	5
衣香鬓影	yi xiang bin ying	8
补偏救弊	bu pian jiu bi	5
表里一致	biao li yi zhi	13
表里山河	biao li shan he	2
衮衮诸公	gun gun zhu gong	7
袅袅娜娜	niao niao nuo nuo	1
袒胸露背	tan xiong lu bei	11
装潢门面	zhuang huang men mian	6
装点门面	zhuang dian men mian	12
褒衣博带	bao yi bo dai	4
西出阳关无故人	xi chu yang guan wu gu ren	34
要死要活	yao si yao huo	3
要而言之	yao er yan zhi	2
覆巢之下无完卵	fu chao zhi xia wu wan luan	4
见利思义	jian li si yi	6
见惯不惊	jian guan bu jing	8
见机而作	jian ji er zuo	3
见物不见人	jian wu bu jian ren	1
见猎心喜	jian lie xin xi	4
见贤思齐	jian xian si qi	32
见风转舵	jian feng zhuan duo	45
见龙卸甲	jian long xie jia	41
观者云集	guan zhe yun ji	1
观者如云	guan zhe ru yun	2
规行矩步	gui xing ju bu	3
视为儿戏	shi wei er xi	1
视为畏途	shi wei wei tu	12
视为知己	shi wei zhi ji	7
视同儿戏	shi tong er xi	1
视如珍宝	shi ru zhen bao	5
视死如生	shi si ru sheng	1
视民如伤	shi min ru shang	1
视而不见听而不闻	shi er bu jian ting er bu wen	4
觊觎之心	ji yu zhi xin	14
解民倒悬	jie min dao xuan	2
解疑释惑	jie yi shi huo	2
解铃还须系铃人	jie ling hai xu xi ling ren	1
触手可及	chu shou ke ji	48
言之无文	yan zhi wu wen	6
言之谆谆	yan zhi zhun zhun	7
言人人殊	yan ren ren shu	7
言出法随	yan chu fa sui	6
言必信行必果	yan bi xin xing bi guo	1
言必有据	yan bi you ju	2
言无不尽	yan wu bu jin	28
言有尽而意无穷	yan you jin er yi wu qiong	2
言笑晏晏	yan xiao yan yan	3
言简意深	yan jian yi shen	3
言者谆谆	yan zhe zhun zhun	7
言而有信	yan er you xin	32
言近旨远	yan jin zhi yuan	4
誉满天下	yu man tian xia	10
誓死不屈	shi si bu qu	5
计上心头	ji shang xin tou	7
计上心来	ji shang xin lai	5
议论纷纭	yi lun fen yun	4
议论风生	yi lun feng sheng	11
讲信修睦	jiang xin xiu mu	7
讷言敏行	ne yan min xing	1
识时务者为俊杰	shi shi wu zhe wei jun jie	31
识途老马	shi tu lao ma	5
诗中有画	shi zhong you hua	11
诗礼传家	shi li chuan jia	25
诗酒风流	shi jiu feng liu	5
诚心实意	cheng xin shi yi	9
诚心正意	cheng xin zheng yi	1
诛心之论	zhu xin zhi lun	5
话不投机	hua bu tou ji	19
话不投机半句多	hua bu tou ji ban ju duo	1
话里带刺	hua li dai ci	6
诡谲多变	gui jue duo bian	17
语不惊人	yu bu jing ren	10
语不惊人死不休	yu bu jing ren si bu xiu	11
诲淫诲盗	hui yin hui dao	3
说千道万	shuo qian dao wan	7
说时迟那时快	shuo shi chi na shi kuai	23
诸恶莫作	zhu e mo zuo	24
读书破万卷	du shu po wan juan	14
谁是谁非	shui shi shui fei	35
调和阴阳	tiao he yin yang	10
调和鼎鼐	tiao he ding nai	10
谆谆告诫	zhun zhun gao jie	4
谆谆善诱	zhun zhun shan you	14
谆谆教导	zhun zhun jiao dao	13
谈古论今	tan gu lun jin	13
谈天论地	tan tian lun di	3
谈笑有鸿儒	tan xiao you hong ru	18
谈笑自如	tan xiao zi ru	8
谋事在人	mou shi zai ren	36
谓予不信	wei yu bu xin	1
谦虚谨慎	qian xu jin shen	44
谬以千里	miu yi qian li	8
谬种流传	miu zhong liu chuan	3
谬误百出	miu wu bai chu	4
谷贱伤农	gu jian shang nong	1
豁达大度	huo da da du	17
豪情壮志	hao qing zhuang zhi	17
豺狼当道	chai lang dang dao	6
豺狼虎豹	chai lang hu bao	17
负重致远	fu zhong zhi yuan	1
财不露白	cai bu lu bai	9
财源滚滚	cai yuan gun gun	25
财运亨通	cai yun heng tong	35
败事有余	bai shi you yu	8
败兴而归	bai xing er gui	18
败军之将	bai jun zhi jiang	14
败絮其中	bai xu qi zhong	21
贩夫走卒	fan fu zou zu	30
贪多嚼不烂	tan duo jiao bu lan	1
贪心不足	tan xin bu zu	26
贪财好色	tan cai hao se	24
贫困潦倒	pin kun liao dao	40
贫贱不移	pin jian bu yi	3
贫贱不能移	pin jian bu neng yi	9
贯彻始终	guan che shi zhong	43
贵在知心	gui zai zhi xin	1
费心劳力	fei xin lao li	2
费心劳神	fei xin lao shen	2
贻人口实	yi ren kou shi	1
贼心不死	zei xin bu si	9
贿赂公行	hui lu gong xing	13
赌咒发誓	du zhou fa shi	8
赏心乐事	shang xin le shi	14
赔了夫人又折兵	pei le fu ren you zhe bing	24
赞口不绝	zan kou bu jue	11
赤身露体	chi shen lu ti	20
走为上策	zou wei shang ce	30
走为上计	zou wei shang ji	18
赶鸭子上架	gan ya zi shang jia	45
趁人之危	chen ren zhi wei	26
超然独立	chao ran du li	5
超群出众	chao qun chu zhong	12
趑趄不前	zi ju bu qian	7
足不出门	zu bu chu men	5
跃马扬鞭	yue ma yang bian	3
跑了和尚跑不了庙	pao le he shang pao bu liao miao	2
路人皆知	lu ren jie zhi	48
路见不平拔刀相助	lu jian bu ping ba dao xiang zhu	19
路遥知马力	lu yao zhi ma li	49
踉踉跄跄	liang liang qiang qiang	24
踌躇不决	chou chu bu jue	7
踏破铁鞋	ta po tie xie	9
踏破铁鞋无觅处	ta po tie xie wu mi chu	9
踟蹰不前	chi chu bu qian	3
踽踽独行	ju ju du xing	6
身单力薄	shen dan li bo	2
身在曹营心在汉	shen zai cao ying xin zai han	45
身在江湖	shen zai jiang hu	5
身心交瘁	shen xin jiao cui	24
身教重于言教	shen jiao zhong yu yan jiao	9
身无长物	shen wu chang wu	18
躬行实践	gong xing shi jian	19
躬逢其盛	gong feng qi sheng	4
车如流水马如龙	che ru liu shui ma ru long	3
转悲为喜	zhuan bei wei xi	3
转战千里	zhuan zhan qian li	7
转眼之间	zhuan yan zhi jian	43
轮流做庄	lun liu zuo zhuang	6
轻如鸿毛	qing ru hong mao	12
轻装前进	qing zhuang qian jin	9
轻装简从	qing zhuang jian cong	5
轻言细语	qing yan xi yu	8
轻诺寡信	qing nuo gua xin	1
载沉载浮	zai chen zai fu	6
载舟覆舟	zai zhou fu zhou	6
辩才无碍	bian cai wu ai	28
达则兼济天下	da ze jian ji tian xia	23
达官显宦	da guan xian huan	4
迁客骚人	qian ke sao ren	4
迁怒于人	qian nu yu ren	7
过五关斩六将	guo wu guan zhan liu jiang	39
过江之鲫	guo jiang zhi ji	13
过河卒子	guo he zu zi	3
过而能改	guo er neng gai	1
过路财神	guo lu cai shen	2
过门不入	guo men bu ru	4
迎风招展	ying feng zhao zhan	10
近乡情怯	jin xiang qing qie	17
近在眉睫	jin zai mei jie	6
近悦远来	jin yue yuan lai	3
还我河山	huan wo he shan	47
这山望着那山高	zhe shan wang zhe na shan gao	7
进德修业	jin de xiu ye	29
进身之阶	jin shen zhi jie	4
进退有度	jin tui you du	14
进道若退	jin dao ruo tui	3
远亲不如近邻	yuan qin bu ru jin lin	20
远亲近邻	yuan qin jin lin	11
远水不解近渴	yuan shui bu jie jin ke	9
远水解不了近渴	yuan shui jie bu liao jin ke	9
连战皆捷	lian zhan jie jie	37
连日连夜	lian ri lian ye	3
迟暮之年	chi mu zhi nian	12
迟疑不决	chi yi bu jue	30
迟疑不定	chi yi bu ding	3
迟疑观望	chi yi guan wang	6
迷惑不解	mi huo bu jie	20
追根求源	zhui gen qiu yuan	7
追根溯源	zhui gen su yuan	45
追根问底	zhui gen wen di	3
追风逐日	zhui feng zhu ri	6
送君千里	song jun qian li	17
送旧迎新	song jiu ying xin	9
适逢其时	shi feng qi shi	5
逆我者亡	ni wo zhe wang	16
逆耳之言	ni er zhi yan	6
选贤与能	xuan xian yu neng	17
选贤举能	xuan xian ju neng	3
逐句逐字	zhu ju zhu zi	1
逐鹿中原	zhu lu zhong yuan	40
逝者如斯	shi zhe ru si	13
逞强好胜	cheng qiang hao sheng	4
逢山开路	feng shan kai lu	5
逢山开路遇水搭桥	feng shan kai lu yu shui da qiao	6
逢山开道	feng shan kai dao	7
逸兴遄飞	yi xing chuan fei	3
逸趣横生	yi qu heng sheng	2
逸闻趣事	yi wen qu shi	15
逼人太甚	bi ren tai shen	1
遇水架桥	yu shui jia qiao	5
遐迩闻名	xia er wen ming	7
道德文章	dao de wen zhang	13
道路以目	dao lu yi mu	12
道骨仙风	dao gu xian feng	7
道高一丈	dao gao yi zhang	5
道高一尺	dao gao yi chi	18
道高一尺魔高一丈	dao gao yi chi mo gao yi zhang	23
遗世独立	yi shi du li	23
遗患无穷	yi huan wu qiong	8
遗老遗少	yi lao yi shao	16
