# 微明领域词库：财经，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
北玻股份	bei bo gu fen	5
北矿	bei kuang	1
北辰实业	bei chen shi ye	11
北陆药业	bei lu yao ye	3
区域型	qu yu xing	4
半仓	ban cang	1
半年报	ban nian bao	22
半年期	ban nian qi	8
华东医药股份有限公司	hua dong yi yao gu fen you xian gong si	5
华丰集团	hua feng ji tuan	7
华仁药业	hua ren yao ye	2
华力创通	hua li chuang tong	3
华北制药	hua bei zhi yao	47
华北银行	hua bei yin hang	23
华升股份	hua sheng gu fen	4
华商产业	hua shang chan ye	3
华商银行	hua shang yin hang	28
华塑	hua su	18
华夏通	hua xia tong	1
华天酒店	hua tian jiu dian	6
华孚色纺	hua fu se fang	5
华安宏利	hua an hong li	5
华安宝利	hua an bao li	5
华安富利	hua an fu li	2
华微电子	hua wei dian zi	2
华昌化工	hua chang hua gong	3
华昌达	hua chang da	7
华海药业	hua hai yao ye	13
华润锦华	hua run jin hua	2
华源	hua yuan	11
华盛达	hua sheng da	2
华神集团	hua shen ji tuan	5
华联商厦	hua lian shang sha	38
华联综超	hua lian zong chao	2
华芳纺织	hua fang fang zhi	1
华菱钢铁	hua ling gang tie	19
华融资产管理公司	hua rong zi chan guan li gong si	27
华讯	hua xun	5
华资实业	hua zi shi ye	9
华远地产	hua yuan di chan	16
华银电力	hua yin dian li	6
华阳科技	hua yang ke ji	2
华陶	hua tao	20
华靖	hua jing	1
华鼎锦纶	hua ding jin lun	1
华龙集团	hua long ji tuan	1
协调部	xie tiao bu	8
卓尔发展	zhuo er fa zhan	2
卓悦控股	zhuo yue kong gu	22
卓越理财	zhuo yue li cai	26
单币	dan bi	1
单币卡	dan bi ka	1
单选	dan xuan	10
卖空者	mai kong zhe	5
卖超	mai chao	3
南京新港	nan jing xin gang	5
南京新百	nan jing xin bai	3
南京港	nan jing gang	9
南京港股份有限公司	nan jing gang gu fen you xian gong si	3
南京银行	nan jing yin hang	23
南化	nan hua	9
南华期货	nan hua qi huo	6
南华集团	nan hua ji tuan	15
南博网	nan bo wang	2
南国置业	nan guo zhi ye	3
南天信息	nan tian xin xi	3
南宁糖业	nan ning tang ye	3
南宁糖业股份有限公司	nan ning tang ye gu fen you xian gong si	4
南山铝业	nan shan lv ye	3
南开戈德	nan kai ge de	2
南控	nan kong	7
南方公司	nan fang gong si	9
南方建材股份有限公司	nan fang jian cai gu fen you xian gong si	4
南方汇通股份有限公司	nan fang hui tong gu fen you xian gong si	3
南油物业	nan you wu ye	4
南玻集团	nan bo ji tuan	4
南百	nan bai	4
南网	nan wang	11
南证	nan zheng	4
南通科技	nan tong ke ji	4
南顺	nan shun	8
博信	bo xin	7
博耳电力	bo er dian li	3
博软	bo ruan	1
卡中心	ka zhong xin	6
卡包	ka bao	9
卡号	ka hao	14
卡样	ka yang	6
卡种	ka zhong	9
卡菲尔	ka fei er	3
卧龙地产	wo long di chan	2
即期	ji qi	9
厦工股份	xia gong gu fen	2
厦新	xia xin	4
厦门信达	xia men xin da	5
厦门信达股份有限公司	xia men xin da gu fen you xian gong si	4
厦门厦工	xia men xia gong	2
厦门国贸	xia men guo mao	5
厦门国际银行	xia men guo ji yin hang	30
厦门路桥	xia men lu qiao	3
厦门钨业	xia men wu ye	5
参保率	can bao lv	15
友邦华泰	you bang hua tai	3
友阿股份	you a gu fen	1
双币	shuang bi	18
双币卡	shuang bi ka	6
双平	shuang ping	4
双底	shuang di	8
双箭股份	shuang jian gu fen	2
双色球	shuang se qiu	29
双账户	shuang zhang hu	3
双赔	shuang pei	1
双马	shuang ma	9
反洗钱法	fan xi qian fa	7
反馈单	fan kui dan	1
发票管理办法	fa piao guan li ban fa	1
发票领购本	fa piao ling gou ben	2
发票领购簿	fa piao ling gou bu	4
发行方案	fa xing fang an	2
发行期	fa xing qi	9
取现	qu xian	17
受损者	shou sun zhe	4
受理人	shou li ren	2
口令卡	kou ling ka	2
古币	gu bi	42
古汉集团	gu han ji tuan	5
古越龙山	gu yue long shan	20
可用资产	ke yong zi chan	4
史密森协定	shi mi sen xie ding	10
合伙制	he huo zhi	21
合兴集团	he xing ji tuan	17
合富辉煌	he fu hui huang	11
合并资产负债表	he bing zi chan fu zhai biao	1
合肥三洋	he fei san yang	24
合肥百货	he fei bai huo	7
合肥美菱股份有限公司	he fei mei ling gu fen you xian gong si	6
合臣	he chen	5
吉峰农机	ji feng nong ji	5
吉恩镍业	ji en nie ye	7
吉林制药股份有限公司	ji lin zhi yao gu fen you xian gong si	2
吉林化工	ji lin hua gong	9
吉林化纤	ji lin hua xian	7
吉林森工	ji lin sen gong	9
吉林炭素	ji lin tan su	2
吉纸	ji zhi	2
吉诺尔	ji nuo er	18
同洲电子	tong zhou dian zi	3
同济堂	tong ji tang	3
后市	hou shi	14
启明信息	qi ming xin xi	1
员工持股计划	yuan gong chi gu ji hua	16
和而泰	he er tai	2
和讯	he xun	7
咨询报告	zi xun bao gao	45
哈动力	ha dong li	3
哈慈	ha ci	4
哈投股份	ha tou gu fen	2
哈特佛	ha te fo	6
哈药股份	ha yao gu fen	3
哈药集团	ha yao ji tuan	32
哈飞航空	ha fei hang kong	3
哈高科	ha gao ke	7
唐山港	tang shan gang	24
唐陶	tang tao	8
售尽	shou jin	6
售楼部	shou lou bu	17
商业城	shang ye cheng	11
商业银行法	shang ye yin hang fa	21
商务周刊	shang wu zhou kan	13
商界评论	shang jie ping lun	1
商网	shang wang	10
商通卡	shang tong ka	1
嘉实恒生	jia shi heng sheng	2
嘉瑞	jia rui	7
四创	si chuang	3
四季度	si ji du	34
四川双马	si chuan shuang ma	2
四川圣达	si chuan sheng da	3
四川湖山	si chuan hu shan	1
四川电器	si chuan dian qi	1
四川经济日报	si chuan jing ji ri bao	2
四方达	si fang da	3
四洲集团	si zhou ji tuan	43
四维图新	si wei tu xin	11
四通	si tong	10
回天胶业	hui tian jiao ye	2
回收期	hui shou qi	7
回档	hui dang	7
回次	hui ci	6
回调	hui tiao	14
团办	tuan ban	6
固定资本	gu ding zi ben	26
固额	gu e	1
国九条	guo jiu tiao	1
国信证券	guo xin zheng quan	30
国富强债	guo fu qiang zhai	2
国投	guo tou	11
国投瑞银	guo tou rui yin	2
国星光电	guo xing guang dian	3
国民银行	guo min yin hang	9
国泰上证	guo tai shang zheng	1
国泰双利	guo tai shuang li	3
国泰纳指	guo tai na zhi	4
国泰进取	guo tai jin qu	5
国泰金牛	guo tai jin niu	5
国泰金马	guo tai jin ma	3
国泰金鹏	guo tai jin peng	2
国泰金鹰	guo tai jin ying	5
国泰金鹿	guo tai jin lu	4
国泰金鼎	guo tai jin ding	4
国泰金龙	guo tai jin long	5
国海富兰克林	guo hai fu lan ke lin	7
国瓷	guo ci	11
国电	guo dian	13
国电南瑞	guo dian nan rui	4
国电南自	guo dian nan zi	1
国研网	guo yan wang	4
国统股份	guo tong gu fen	2
国网	guo wang	13
国联信托	guo lian xin tuo	3
国联安	guo lian an	9
国联安双禧	guo lian an shuang xi	3
国能	guo neng	7
国资局	guo zi ju	5
国通	guo tong	9
国阳新能	guo yang xin neng	1
国际商报	guo ji shang bao	3
国际结算	guo ji jie suan	46
国际融资	guo ji rong zi	20
国际金融市场	guo ji jin rong shi chang	28
国际金融报	guo ji jin rong bao	11
国际银行	guo ji yin hang	10
圣方	sheng fang	8
圣莱达	sheng lai da	6
圣阳股份	sheng yang gu fen	3
圣雪绒	sheng xue rong	12
在线咨询	zai xian zi xun	8
地产股	di chan gu	20
地量	di liang	9
均线	jun xian	11
坏账率	huai zhang lv	2
垃圾股	la ji gu	3
城投控股	cheng tou kong gu	2
基期	ji qi	10
基民	ji min	10
基金合同	ji jin he tong	7
塑料钞	su liao chao	8
填权	tian quan	1
增值税普通发票	zeng zhi shui pu tong fa piao	2
增资额	zeng zi e	1
士兰微	shi lan wei	2
备付金	bei fu jin	5
备抵	bei di	21
备用费	bei yong fei	6
复旦复华	fu dan fu hua	4
