# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
公孙轩辕	gong sun xuan yuan	3
公孙鞅	gong sun yang	17
公室告	gong shi gao	5
六卿	liu qing	5
兰石	lan shi	9
兰茂	lan mao	5
共工	gong gong	5
关兴	guan xing	7
关友声	guan you sheng	4
关口里美	guan kou li mei	3
关宁	guan ning	7
关定	guan ding	4
关松房	guan song fang	10
关槐	guan huai	3
关索	guan suo	6
关纯	guan chun	3
关肃霜	guan su shuang	18
冀志罡	ji zhi gang	3
冀朝铸	ji chao zhu	22
内斯肯斯	nei si ken si	15
冈本夏生	gang ben xia sheng	3
冈本多绪	gang ben duo xu	8
冈村孝子	gang cun xiao zi	15
冉平	ran ping	6
冉觐祖	ran jin zu	3
冉雄飞	ran xiong fei	6
冒襄	mao xiang	37
冢本晋也	zhong ben jin ye	43
冬日那	dong ri na	4
冯一刀	feng yi dao	2
冯一萌	feng yi meng	2
冯光裕	feng guang yu	3
冯勇强	feng yong qiang	2
冯国章	feng guo zhang	2
冯坤	feng kun	38
冯培元	feng pei yuan	9
冯大刚	feng da gang	1
冯大有	feng da you	2
冯奕	feng yi	22
冯如	feng ru	8
冯媛甄	feng yuan zhen	22
冯嫽	feng liao	13
冯安邦	feng an bang	31
冯家妹	feng jia mei	4
冯小	feng xiao	5
冯尔康	feng er kang	14
冯应京	feng ying jing	24
冯建章	feng jian zhang	3
冯开	feng kai	5
冯德英	feng de ying	16
冯惟敏	feng wei min	12
冯成修	feng cheng xiu	2
冯承辉	feng cheng hui	2
冯敏昌	feng min chang	8
冯文炳	feng wen bing	10
冯文蔚	feng wen wei	5
冯春晖	feng chun hui	6
冯晓曦	feng xiao xi	1
冯景兰	feng jing lan	13
冯梦祯	feng meng zhen	17
冯波	feng bo	37
冯海涛	feng hai tao	1
冯焌光	feng jun guang	3
冯煦	feng xu	41
冯特民	feng te min	37
冯礼	feng li	47
冯简	feng jian	21
冯至	feng zhi	7
冯苏	feng su	3
冯裕	feng yu	25
冯长春	feng chang chun	6
冯集梧	feng ji wu	6
冯雪松	feng xue song	5
冯雷	feng lei	25
冷枚	leng mei	10
冷永成	leng yong cheng	6
净莲	jing lian	15
凌一	ling yi	6
凌云上	ling yun shang	2
凌勇	ling yong	8
凌岩	ling yan	4
凌广	ling guang	7
凌德	ling de	9
凌必正	ling bi zheng	2
凌曙	ling shu	14
凌濛初	ling meng chu	5
凌纯声	ling chun sheng	48
凌震	ling zhen	18
凌霞	ling xia	32
凌音	ling yin	17
凤凰涅	feng huang nie	4
凭神	ping shen	3
刀美兰	dao mei lan	12
刁包	diao bao	15
刁德一	diao de yi	12
切格瓦拉	qie ge wa la	13
列子	lie zi	8
列科	lie ke	4
刘一含	liu yi han	8
刘一斌	liu yi bin	5
刘万春	liu wan chun	41
刘万永	liu wan yong	1
刘万芳	liu wan fang	3
刘世振	liu shi zhen	18
刘世珩	liu shi heng	19
刘丽敏	liu li min	2
