# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
曾瑞	zeng rui	5
曾璜	zeng huang	1
曾祥金	zeng xiang jin	3
曾约农	zeng yue nong	38
曾衍东	zeng yan dong	2
曾钊	zeng zhao	12
曾铸	zeng zhu	26
曾黎	zeng li	7
有森也实	you sen ye shi	19
有里知花	you li zhi hua	1
朋霍费尔	peng huo fei er	12
朝仓音梦	chao cang yin meng	19
朝审	chao shen	31
朝田龙太郎	chao tian long tai lang	7
期思	qi si	4
木口亚矢	mu kou ya shi	16
木增	mu zeng	3
木子美	mu zi mei	42
木村雅史	mu cun ya shi	28
末主	mo zhu	3
本田邦久	ben tian bang jiu	3
朱一新	zhu yi xin	37
朱东润	zhu dong run	17
朱为弼	zhu wei bi	5
朱丽娅	zhu li ya	38
朱之瑜	zhu zhi yu	15
朱之蕃	zhu zhi fan	11
朱之锡	zhu zhi xi	17
朱书	zhu shu	7
朱云卿	zhu yun qing	24
朱云辉	zhu yun hui	4
朱仁荣	zhu ren rong	2
朱伦瀚	zhu lun han	4
朱先	zhu xian	6
朱克靖	zhu ke jing	20
朱凤标	zhu feng biao	17
朱剑凡	zhu jian fan	43
朱剑秋	zhu jian qiu	1
朱勇均	zhu yong jun	2
朱升	zhu sheng	4
朱华	zhu hua	11
朱可欣	zhu ke xin	1
朱右	zhu you	3
朱启南	zhu qi nan	43
朱启连	zhu qi lian	2
朱善	zhu shan	3
朱国盛	zhu guo sheng	3
朱坤	zhu kun	16
朱士勤	zhu shi qin	4
朱士林	zhu shi lin	1
朱大可	zhu da ke	11
朱奇伟	zhu qi wei	5
朱威廉	zhu wei lian	5
朱娜	zhu na	19
朱媛媛	zhu yuan yuan	19
朱孝纯	zhu xiao chun	4
朱学增	zhu xue zeng	3
朱守道	zhu shou dao	1
朱安禹	zhu an yu	13
朱宝善	zhu bao shan	1
朱实夫	zhu shi fu	48
朱少屏	zhu shao ping	19
朱岷	zhu min	1
朱峤	zhu jiao	3
朱庆元	zhu qing yuan	2
朱廷刚	zhu ting gang	3
朱建华	zhu jian hua	49
朱建新	zhu jian xin	1
朱异	zhu yi	4
朱彭	zhu peng	2
朱彭年	zhu peng nian	2
朱德润	zhu de run	12
朱志尧	zhu zhi yao	39
朱戟	zhu ji	2
朱承爵	zhu cheng jue	1
朱敦儒	zhu dun ru	19
朱文学	zhu wen xue	4
朱文泉	zhu wen quan	13
朱文涛	zhu wen tao	5
朱文清	zhu wen qing	14
朱斯特	zhu si te	2
朱方华	zhu fang hua	6
朱昂	zhu ang	29
朱昆田	zhu kun tian	1
朱易	zhu yi	25
朱晓东	zhu xiao dong	39
朱朗	zhu lang	4
朱本	zhu ben	3
朱权	zhu quan	6
朱次琦	zhu ci qi	15
朱永康	zhu yong kang	5
朱汝华	zhu ru hua	6
朱沆	zhu hang	3
朱治	zhu zhi	5
朱泳腾	zhu yong teng	24
朱洗	zhu xi	3
朱洵	zhu xun	2
朱淇	zhu qi	19
朱澄	zhu cheng	7
朱瀚	zhu han	3
朱烈	zhu lie	33
朱焱	zhu yan	2
朱照	zhu zhao	3
朱玮杰	zhu wei jie	1
朱理	zhu li	6
朱琏	zhu lian	21
朱琰	zhu yan	6
朱璟	zhu jing	25
朱生豪	zhu sheng hao	38
朱用纯	zhu yong chun	11
朱相宇	zhu xiang yu	3
朱真	zhu zhen	4
朱石麟	zhu shi lin	45
朱研	zhu yan	5
朱祖祥	zhu zu xiang	19
朱祖谋	zhu zu mou	39
朱祺	zhu qi	6
朱端钧	zhu duan jun	6
朱筠	zhu yun	38
朱简	zhu jian	2
朱素臣	zhu su chen	7
朱绅	zhu shen	24
朱缨	zhu ying	13
朱耷	zhu da	24
朱肱	zhu gong	10
朱能	zhu neng	4
朱芬	zhu fen	28
朱芳雨	zhu fang yu	44
朱芾	zhu fu	8
朱芾煌	zhu fu huang	28
朱荃	zhu quan	6
朱裕	zhu yu	31
朱裳	zhu chang	16
朱诚泳	zhu cheng yong	15
朱谌之	zhu chen zhi	35
朱谨	zhu jin	2
朱象贤	zhu xiang xian	1
朱赞	zhu zan	3
朱践耳	zhu jian er	30
朱轶	zhu yi	2
朱轼	zhu shi	32
朱载垕	zhu zai hou	6
朱载育	zhu zai yu	2
朱邦	zhu bang	3
朱采	zhu cai	6
朱金兰	zhu jin lan	3
朱钦	zhu qin	45
朱钧	zhu jun	11
朱钰	zhu yu	6
朱铁	zhu tie	4
朱霁青	zhu ji qing	22
朱震亨	zhu zhen heng	15
朱骏声	zhu jun sheng	14
朱鼎玉	zhu ding yu	4
朴俊奎	piao jun kui	8
朴勇宇	piao yong yu	2
朴海日	piao hai ri	45
朴真熙	piao zhen xi	22
权相宇	quan xiang yu	4
权量	quan liang	5
杉内雅男	shan nei ya nan	17
杉原杏璃	shan yuan xing li	23
杉本有美	shan ben you mei	41
李世倬	li shi zhuo	6
李世泽	li shi ze	1
李世熊	li shi xiong	10
李世芳	li shi fang	10
李世英	li shi ying	31
李世龙	li shi long	22
李东奎	li dong kui	8
李东旭	li dong xu	20
李东波	li dong bo	3
李东田	li dong tian	6
李中南	li zhong nan	2
李中师	li zhong shi	17
李中立	li zhong li	7
李丰永	li feng yong	2
李丹	li dan	13
李义庭	li yi ting	4
李之芳	li zhi fang	38
李之龙	li zhi long	48
李书华	li shu hua	44
李亚伟	li ya wei	20
李亚春	li ya chun	2
李亚蓉	li ya rong	4
李亦雯	li yi wen	3
李亮	li liang	13
李仁堂	li ren tang	15
李仍	li reng	7
李仕学	li shi xue	3
李仪祉	li yi zhi	46
李仲扬	li zhong yang	4
李伏	li fu	3
李众	li zhong	5
李佐贤	li zuo xian	12
李佳璘	li jia lin	3
李依桐	li yi tong	3
李俊基	li jun ji	7
李俊山	li jun shan	1
李俊慧	li jun hui	49
李俊民	li jun min	28
李保田	li bao tian	40
李倩妮	li qian ni	7
李傻傻	li sha sha	3
李儇	li xuan	44
李元度	li yuan du	43
李元阳	li yuan yang	40
李兆年	li zhao nian	2
李先芳	li xian fang	16
李光久	li guang jiu	11
李光斗	li guang dou	5
李公麟	li gong lin	48
李兰娟	li lan juan	48
李兴春	li xing chun	4
李兵	li bing	13
李典	li dian	6
李再华	li zai hua	3
李再雯	li zai wen	4
李冬梅	li dong mei	3
李冲	li chong	11
李凯年	li kai nian	1
李别	li bie	3
李劫	li jie	2
李劫夫	li jie fu	33
李劲然	li jing ran	3
李势	li shi	3
李华军	li hua jun	5
李华国	li hua guo	4
李厚霖	li hou lin	4
李友太	li you tai	3
李友梅	li you mei	13
李吉寿	li ji shou	2
李名	li ming	6
李呈祥	li cheng xiang	8
李和	li he	10
李嘉绩	li jia ji	2
李因	li yin	8
李因笃	li yin du	29
李固	li gu	4
李国勋	li guo xun	1
李国文	li guo wen	39
李国江	li guo jiang	5
李国良	li guo liang	32
李国训	li guo xun	3
李圣天	li sheng tian	18
李坛	li tan	2
李坤军	li kun jun	4
李培林	li pei lin	12
李基宇	li ji yu	4
李塨	li gong	19
李士彬	li shi bin	3
李士桢	li shi zhen	8
李大嘴	li da zui	42
李大昌	li da chang	1
李天任	li tian ren	13
李天根	li tian gen	14
李天植	li tian zhi	12
李天馥	li tian fu	22
李好	li hao	8
李如一	li ru yi	5
李妍熙	li yan xi	4
李妍瑾	li yan jin	14
李妮娜	li ni na	28
李威克	li wei ke	3
李媛媛	li yuan yuan	47
李子亮	li zi liang	3
李子旸	li zi yang	3
李学川	li xue chuan	2
李学庆	li xue qing	19
李学林	li xue lin	48
李安全	li an quan	6
李宗信	li zong xin	8
李宗吾	li zong wu	30
李宗扬	li zong yang	5
李宗昉	li zong fang	22
李宗瀚	li zong han	2
李宜芳	li yi fang	2
李宝章	li bao zhang	19
李宪乔	li xian qiao	2
李家华	li jia hua	7
李封	li feng	4
李小双	li xiao shuang	37
李小婉	li xiao wan	49
李少春	li shao chun	47
李尹桑	li yin sang	2
李屾	li shen	3
李常在	li chang zai	2
李广平	li guang ping	5
李庆良	li qing liang	5
李康华	li kang hua	3
李廷相	li ting xiang	8
李建兵	li jian bing	7
李异	li yi	6
李弥	li mi	5
李彩虹	li cai hong	2
李德光	li de guang	3
李德孝	li de xiao	3
李德强	li de qiang	11
李德才	li de cai	13
李德旺	li de wang	45
李德纯	li de chun	3
李德钢	li de gang	3
李心传	li xin chuan	42
李心怡	li xin yi	10
李必蕃	li bi fan	19
李念慈	li nian ci	2
李怀民	li huai min	2
李思训	li si xun	38
李恩元	li en yuan	7
李惟淼	li wei miao	1
李想	li xiang	11
李惺	li xing	4
李意	li yi	6
李戈	li ge	7
李承鹏	li cheng peng	43
李振清	li zhen qing	40
李振裕	li zhen yu	7
李放	li fang	9
李敬思	li jing si	1
李敬泽	li jing ze	20
李文子	li wen zi	4
李文瀚	li wen han	8
李文炤	li wen zhao	6
李文耕	li wen geng	2
李文藻	li wen zao	9
李文通	li wen tong	14
李斯羽	li si yu	3
李新芳	li xin fang	10
李方膺	li fang ying	20
李方训	li fang xun	20
李日华	li ri hua	43
李时	li shi	6
李时行	li shi xing	7
李时雍	li shi yong	13
李昇	li sheng	4
李明德	li ming de	43
李明文	li ming wen	2
李明雪	li ming xue	3
李明顺	li ming shun	15
李易祥	li yi xiang	13
李星	li xing	10
李星沅	li xing yuan	48
李春熙	li chun xi	8
李春燕	li chun yan	34
李春福	li chun fu	9
李春香	li chun xiang	12
李昭玘	li zhao qi	3
李是男	li shi nan	12
李昱	li yu	42
李晏	li yan	42
李智屏	li zhi ping	1
李暄	li xuan	12
李服	li fu	2
李朔	li shuo	13
李期	li qi	3
李来群	li lai qun	11
李林松	li lin song	1
李楚瀛	li chu ying	13
李樯	li qiang	28
李正伦	li zheng lun	6
李正先	li zheng xian	9
李汉仪	li han yi	1
李汝华	li ru hua	13
李汝珍	li ru zhen	41
李汝龙	li ru long	4
李治民	li zhi min	2
李泉	li quan	9
李波	li bo	12
李泰成	li tai cheng	8
李洪海	li hong hai	4
李洵	li xun	41
李流芳	li liu fang	29
李济平	li ji ping	5
李海卓	li hai zhuo	2
李海洋	li hai yang	8
李海观	li hai guan	6
李海青	li hai qing	10
李涌	li yong	22
李淑华	li shu hua	9
李淑卿	li shu qing	5
李淦	li gan	19
李溥光	li pu guang	3
李漼	li cui	45
李潮	li chao	4
李澄中	li cheng zhong	6
李瀛寰	li ying huan	5
李灵	li ling	9
李炳辰	li bing chen	1
李焕章	li huan zhang	22
李熙垣	li xi yuan	3
李熹	li xi	24
李玄	li xuan	5
李玄霸	li xuan ba	28
李玉琳	li yu lin	7
李玟真	li wen zhen	10
李玥	li yue	15
李球	li qiu	6
李琛	li chen	47
李瑞英	li rui ying	42
李璋煜	li zhang yu	6
李生光	li sheng guang	1
李生寅	li sheng yin	2
李用清	li yong qing	2
李百军	li bai jun	3
李盖凡	li gai fan	3
李相勋	li xiang xun	19
李真	li zhen	11
李睍	li xian	2
李瞻	li zhan	22
李祖望	li zu wang	1
李祖泽	li zu ze	20
李祥凤	li xiang feng	2
李禹东	li yu dong	3
李秀明	li xiu ming	21
李秉德	li bing de	6
李秉衡	li bing heng	46
李童	li tong	9
李端	li duan	7
李符	li fu	2
李素妍	li su yan	32
李纪珠	li ji zhu	38
李绍珍	li shao zhen	6
李经	li jing	6
李绩	li ji	36
李续宜	li xu yi	20
李绮红	li qi hong	6
李群	li qun	11
李翠芳	li cui fang	2
李翠菊	li cui ju	3
李翰卿	li han qing	6
李耳	li er	7
李聃	li dan	10
李腾蛟	li teng jiao	11
李良年	li liang nian	21
李艾	li ai	9
李艾东	li ai dong	1
李苹	li ping	11
李萼	li e	42
李蒙	li meng	10
李蕃	li fan	33
李藩	li fan	5
李虎	li hu	10
李虎军	li hu jun	5
李西闽	li xi min	9
李见明	li jian ming	5
李觉	li jue	6
李觏	li gou	14
李言闻	li yan wen	2
李诗琪	li shi qi	1
李诚儒	li cheng ru	21
李详	li xiang	34
李谷	li gu	7
李豫川	li yu chuan	4
李贡	li gong	4
李贺	li he	10
李赞	li zan	7
李辉仁	li hui ren	3
李迎春	li ying chun	3
李迪	li di	11
李通	li tong	7
李重华	li zhong hua	6
李金斗	li jin dou	18
李鑫淼	li xin miao	4
李钟秀	li zhong xiu	4
李钢	li gang	29
李镜清	li jing qing	46
李长之	li chang zhi	18
李长熙	li chang xi	4
李阳春	li yang chun	23
李陵	li ling	7
李雄	li xiong	9
李雨霏	li yu fei	1
李雪松	li xue song	21
李雷	li lei	10
李霨	li wei	24
李青川	li qing chuan	5
李青海	li qing hai	5
李静芳	li jing fang	23
李颀	li qi	41
李颐	li yi	19
李颙	li yong	49
李馥	li fu	36
李驹	li ju	9
李鳝	li shan	8
李鸿嘉	li hong jia	1
李鸿裔	li hong yi	3
李默	li mo	8
李默然	li mo ran	34
李鼎峰	li ding feng	3
杏里	xing li	3
村上爱	cun shang ai	19
杜义	du yi	5
杜可名	du ke ming	3
杜唯	du wei	2
杜士基	du shi ji	2
杜大成	du da cheng	2
杜子美	du zi mei	12
杜宣	du xuan	17
杜库雷	du ku lei	4
杜微	du wei	42
杜志华	du zhi hua	5
杜思敬	du si jing	3
杜敬	du jing	47
杜文澜	du wen lan	13
杜春生	du chun sheng	2
杜本	du ben	5
杜欣	du xin	33
杜泉	du quan	3
杜煦	du xu	2
杜猛	du meng	6
杜睿	du rui	5
杜纲	du gang	15
杜绾	du wan	5
杜臻	du zhen	12
杜芸	du yun	6
杜荀鹤	du xun he	20
杜越	du yue	7
杜路	du lu	4
杜远	du yuan	10
杜锐	du rui	3
杜长生	du chang sheng	3
杜震宇	du zhen yu	32
杜鹏程	du peng cheng	26
来岛通总	lai dao tong zong	30
来敏	lai min	3
杨一	yang yi	9
杨东平	yang dong ping	16
杨东明	yang dong ming	38
杨中讷	yang zhong ne	8
杨丽菁	yang li jing	40
杨义臣	yang yi chen	38
杨乐渝	yang le yu	6
杨于嘉	yang yu jia	2
杨仁寿	yang ren shou	23
杨介	yang jie	3
杨仕省	yang shi sheng	4
杨以增	yang yi zeng	22
杨仪	yang yi	5
杨仲明	yang zhong ming	11
杨任	yang ren	5
杨修	yang xiu	6
杨兆麟	yang zhao lin	9
杨光钰	yang guang yu	7
杨兴权	yang xing quan	4
杨凝式	yang ning shi	28
杨凤苞	yang feng bao	11
杨劲松	yang jin song	7
杨匏安	yang pao an	37
杨吉昌	yang ji chang	2
杨名时	yang ming shi	22
杨向奎	yang xiang kui	30
杨嘉祚	yang jia zuo	2
杨国梁	yang guo liang	31
杨士林	yang shi lin	14
杨士海	yang shi hai	6
杨大明	yang da ming	11
杨天明	yang tian ming	1
杨天民	yang tian min	14
杨天骥	yang tian ji	1
杨奉	yang feng	3
杨娟	yang juan	21
杨婷	yang ting	30
杨学涛	yang xue tao	1
杨守愚	yang shou yu	45
杨宏胜	yang hong sheng	22
杨宏道	yang hong dao	3
杨宗稷	yang zong ji	41
杨宣	yang xuan	4
杨小乐	yang xiao le	3
杨尚文	yang shang wen	3
杨巍	yang wei	22
杨巨源	yang ju yuan	43
杨平	yang ping	11
杨应奎	yang ying kui	18
杨应春	yang ying chun	4
杨庚	yang geng	17
杨度	yang du	8
杨彬	yang bin	41
杨思圣	yang si sheng	3
杨思敏	yang si min	25
杨恢	yang hui	3
杨恩寿	yang en shou	3
杨恺	yang kai	27
杨惟义	yang wei yi	18
杨惠珊	yang hui shan	5
杨慧林	yang hui lin	1
杨振鸿	yang zhen hong	35
杨挺伟	yang ting wei	2
杨文意	yang wen yi	12
杨文骢	yang wen cong	21
杨文魁	yang wen kui	16
杨时乔	yang shi qiao	21
杨昂	yang ang	3
杨明哲	yang ming zhe	22
杨晋华	yang jin hua	1
杨晓明	yang xiao ming	6
杨晖	yang hui	31
杨晦	yang hui	15
杨朝英	yang chao ying	6
杨本	yang ben	6
杨朱	yang zhu	6
杨村彬	yang cun bin	8
杨果	yang guo	25
杨枢	yang shu	32
杨柏	yang bai	6
杨柯	yang ke	8
杨栋	yang dong	24
杨棨	yang qi	13
杨永年	yang yong nian	6
杨永衍	yang yong yan	3
杨沂孙	yang yi sun	6
杨泗洪	yang si hong	5
杨济	yang ji	3
杨海峰	yang hai feng	3
杨海鹰	yang hai ying	1
杨淑华	yang shu hua	5
杨清顺	yang qing shun	30
杨玉和	yang yu he	5
杨玉明	yang yu ming	18
杨琛	yang chen	8
杨琦	yang qi	34
杨琴	yang qin	23
杨瑀	yang yu	9
杨瑞云	yang rui yun	3
杨璇	yang xuan	14
杨磊	yang lei	46
杨秀川	yang xiu chuan	3
杨笃	yang du	9
杨笃生	yang du sheng	10
杨紫云	yang zi yun	1
杨绍文	yang shao wen	4
杨继业	yang ji ye	28
杨维桢	yang wei zhen	46
杨综	yang zong	13
杨缵绪	yang zuan xu	30
杨翰	yang han	20
杨联升	yang lian sheng	37
杨臣刚	yang chen gang	21
杨致和	yang zhi he	13
杨芳灿	yang fang can	16
杨若兮	yang ruo xi	24
杨虎山	yang hu shan	2
杨讷	yang ne	8
杨谦	yang qian	37
杨赓笙	yang geng sheng	9
杨重远	yang zhong yuan	3
杨钫涵	yang fang han	7
杨铎	yang duo	14
杨铨	yang quan	33
杨锋	yang feng	19
杨锡绂	yang xi fu	11
杨锦麟	yang jin lin	14
杨锴	yang kai	5
杨险峰	yang xian feng	4
杨雅筑	yang ya zhu	23
杨雍建	yang yong jian	9
杨霁云	yang ji yun	3
杨韵	yang yun	21
杨颐	yang yi	11
杨鸿玺	yang hong xi	4
杭世骏	hang shi jun	45
杰克伦敦	jie ke lun dun	11
松尾铃木	song wei ling mu	16
松山健一	song shan jian yi	2
松山千春	song shan qian chun	39
松岛枫	song dao feng	26
松岛菜菜子	song dao cai cai zi	27
松年	song nian	8
松本友	song ben you	17
松本大	song ben da	4
松本明子	song ben ming zi	27
松本晃彦	song ben huang yan	10
松雪	song xue	6
林之夏	lin zhi xia	6
林云铭	lin yun ming	2
林伯桐	lin bo tong	2
林佩琴	lin pei qin	3
林佳慧	lin jia hui	29
林佶	lin ji	5
林侗	lin tong	2
林兆华	lin zhao hua	45
林凤华	lin feng hua	3
林凤祥	lin feng xiang	49
林勇	lin yong	9
林原惠美	lin yuan hui mei	13
林又立	lin you li	10
林君桦	lin jun hua	1
林启桢	lin qi zhen	1
林国桢	lin guo zhen	6
林圣贤	lin sheng xian	41
林圭	lin gui	3
林奴儿	lin nu er	2
林子冲	lin zi chong	2
林宏敏	lin hong min	2
林宗庆	lin zong qing	4
林寿图	lin shou tu	18
林少华	lin shao hua	44
林尧英	lin yao ying	3
林尹民	lin yin min	10
林岫	lin xiu	6
林希逸	lin xi yi	7
林广发	lin guang fa	2
林庚白	lin geng bai	34
林建宏	lin jian hong	16
林彦峰	lin yan feng	8
林思进	lin si jin	7
林散之	lin san zhi	21
林文俊	lin wen jun	7
林文卿	lin wen qing	4
林文英	lin wen ying	16
林时	lin shi	8
林明军	lin ming jun	3
林春山	lin chun shan	5
林有麟	lin you lin	2
林朝华	lin chao hua	6
林朝崧	lin chao song	22
林枝春	lin zhi chun	3
林模	lin mo	2
林永升	lin yong sheng	39
林永裕	lin yong yu	1
林泉生	lin quan sheng	6
林清玄	lin qing xuan	39
林湘萍	lin xiang ping	32
林熊祥	lin xiong xiang	39
林熙蕾	lin xi lei	49
林獬	lin xie	8
林琼	lin qiong	48
林申	lin shen	6
林白水	lin bai shui	41
林祖密	lin zu mi	14
林竹	lin zhu	7
林纪	lin ji	2
林美惠	lin mei hui	3
林育容	lin yu rong	2
林艺	lin yi	6
林节	lin jie	3
林英灿	lin ying can	6
林莉	lin li	9
林蒲封	lin pu feng	3
林蓝	lin lan	7
林衡	lin heng	3
林进春	lin jin chun	15
林逋	lin bu	45
林野	lin ye	11
林针	lin zhen	4
林魁	lin kui	10
林龙	lin long	7
柏人	bai ren	3
柏原收史	bai yuan shou shi	22
柏景伟	bai jing wei	3
柏谦	bai qian	20
柏辉章	bai hui zhang	23
柏邦妮	bai bang ni	4
柚木提娜	you mu ti na	2
查升	zha sheng	2
查可欣	zha ke xin	2
查嗣瑮	zha si li	7
查士标	zha shi biao	9
查旭	cha xu	3
查礼	cha li	3
柯云路	ke yun lu	11
柯以柔	ke yi rou	39
柯奇士	ke qi shi	2
柯岩	ke yan	42
柯平	ke ping	4
柯怡	ke yi	1
柯琴	ke qin	12
柯罗连科	ke luo lian ke	31
柯铁	ke tie	3
柳信美	liu xin mei	26
柳大华	liu da hua	22
柳开	liu kai	2
柳敏	liu min	38
柳时元	liu shi yuan	34
柳比西奇	liu bi xi qi	33
柳真	liu zhen	5
柳诒徵	liu yi zhi	5
柳贯	liu guan	31
柳隐	liu yin	18
柴绍炳	chai shao bing	10
栗原小卷	li yuan xiao juan	25
栗原惠	li yuan hui	10
栗毓美	li yu mei	14
根岸季衣	gen an ji yi	30
根本博	gen ben bo	2
格尔凡德	ge er fan de	16
格里森姆	ge li sen mu	7
栾斌	luan bin	4
栾璞	luan pu	2
桂王	gui wang	5
桂衡	gui heng	5
桂馥	gui fu	36
桃井望	tao jing wang	27
桃城武	tao cheng wu	43
桐原亮司	tong yuan liang si	19
桑弧	sang hu	39
桑悦	sang yue	4
桑戴克	sang dai ke	6
桑门	sang men	2
桑雪	sang xue	10
桥口隆志	qiao kou long zhi	13
桥本丽香	qiao ben li xiang	14
桥本昌二	qiao ben chang er	15
桥本雄二郎	qiao ben xiong er lang	4
梁乃鹏	liang nai peng	49
梁九图	liang jiu tu	2
梁伟棠	liang wei tang	5
梁佳	liang jia	17
梁刚	liang gang	8
梁发芾	liang fa fu	2
梁周翰	liang zhou han	6
梁国治	liang guo zhi	25
梁宗岱	liang zong dai	26
梁宰豪	liang zai hao	14
梁寅	liang yin	7
梁小民	liang xiao min	4
梁希	liang xi	6
梁希贤	liang xi xian	11
梁序昭	liang xu zhao	23
梁廷楠	liang ting nan	1
梁思礼	liang si li	17
梁文斌	liang wen bin	4
梁斌	liang bin	37
梁晓声	liang xiao sheng	45
梁枢	liang shu	1
梁柏台	liang bai tai	5
梁楷	liang kai	38
梁永斌	liang yong bin	4
梁淑贞	liang shu zhen	15
梁清标	liang qing biao	41
梁玉珍	liang yu zhen	2
梁玉绳	liang yu sheng	36
梁琦	liang qi	5
梁瑛	liang ying	10
梁璐	liang lu	7
梁甫	liang fu	42
梁立柱	liang li zhu	8
梁紫	liang zi	22
梁绍壬	liang shao ren	22
梁群	liang qun	7
梁耀汉	liang yao han	3
梁蔼如	liang ai ru	2
梁诗正	liang shi zheng	41
梁鹤年	liang he nian	10
梁麟	liang lin	10
梅启照	mei qi zhao	8
梅宫安娜	mei gong an na	2
梅巧龄	mei qiao ling	2
梅希文	mei xi wen	3
梅成栋	mei cheng dong	4
梅洁	mei jie	12
梅清	mei qing	7
梅瑴成	mei jue cheng	14
梅益	mei yi	48
梅英杰	mei ying jie	2
梅诺蒂	mei nuo di	36
梅达沃	mei da wo	23
梅雨田	mei yu tian	10
梅鼎祚	mei ding zuo	18
梵隆	fan long	1
棉棉	mian mian	48
棋哥	qi ge	13
森光子	sen guang zi	45
森本龙太郎	sen ben long tai lang	25
森理世	sen li shi	13
森田美位子	sen tian mei wei zi	7
森田芳光	sen tian fang guang	49
植村花菜	zhi cun hua cai	40
楚幽王	chu you wang	30
楚简王	chu jian wang	19
楚肃王	chu su wang	23
楠桂	nan gui	13
楼玄	lou xuan	42
樊增祥	fan zeng xiang	46
樊彬	fan bin	4
樊志松	fan zhi song	3
樊春晖	fan chun hui	2
樊粹庭	fan cui ting	15
樊能	fan neng	4
樗里疾	chu li ji	48
樱井幸子	ying jing xing zi	21
樱井莉亚	ying jing li ya	19
橘未稀	ju wei xi	9
檀自新	tan zi xin	20
欧阳勋	ou yang xun	7
欧阳奋强	ou yang fen qiang	32
欧阳婵娟	ou yang chan juan	2
欧阳山	ou yang shan	47
欧阳峰	ou yang feng	31
欧阳章	ou yang zhang	2
欧阳贞	ou yang zhen	3
欧阳静茹	ou yang jing ru	3
欧震	ou zhen	41
止中	zhi zhong	3
步非烟	bu fei yan	17
武丁	wu ding	7
武乙	wu yi	3
武云	wu yun	5
武亿	wu yi	3
武伯英	wu bo ying	2
武兹	wu zi	2
武内英树	wu nei ying shu	34
武卫强	wu wei qiang	5
武原	wu yuan	8
武后	wu hou	7
武安国	wu an guo	23
武庭麟	wu ting lin	14
武泉	wu quan	3
武藤兰	wu teng lan	6
武藤美幸	wu teng mei xing	2
武衡	wu heng	38
段业	duan ye	3
段伯宇	duan bo yu	4
段光清	duan guang qing	19
段坚	duan jian	10
段大章	duan da zhang	2
段婷	duan ting	6
段嵘	duan rong	7
段暄	duan xuan	23
段琦	duan qi	9
段随	duan sui	6
殷兆镛	yin zhao yong	6
殷勇	yin yong	40
殷化行	yin hua xing	2
殷善	yin shan	11
殷士儋	yin shi dan	32
殷奎	yin kui	5
殷悦	yin yue	28
殷海洁	yin hai jie	2
殷纯	yin chun	7
殷罡	yin gang	2
殷震	yin zhen	16
比尔盖茨	bi er gai ci	34
比干	bi gan	4
比拉尔多	bi la er duo	3
毕慧	bi hui	16
毕昇	bi sheng	34
毕星海	bi xing hai	2
毕本	bi ben	2
毕涵	bi han	1
毕淑敏	bi shu min	35
毕然	bi ran	8
毕熙东	bi xi dong	1
毕玉玺	bi yu xi	6
毕琛	bi chen	3
毕磊	bi lei	3
毕锐	bi rui	3
毛依罕	mao yi han	1
毛子水	mao zi shui	39
毛宁	mao ning	9
毛岱钧	mao dai jun	3
毛志成	mao zhi cheng	1
毛怀	mao huai	3
毛戈平	mao ge ping	9
毛扆	mao yi	12
毛承基	mao cheng ji	1
毛昱衡	mao yu heng	2
毛晋	mao jin	4
毛森	mao sen	5
毛江森	mao jiang sen	6
毛润之	mao run zhi	7
毛澄	mao cheng	42
毛纪	mao ji	4
毛良	mao liang	4
毛际可	mao ji ke	10
毛鸿宾	mao hong bin	34
水华	shui hua	9
水均益	shui jun yi	38
水岛宏	shui dao hong	1
水菜丽	shui cai li	29
水野真纪	shui ye zhen ji	40
永山耕三	yong shan geng san	31
永珊	yong shan	38
永琴	yong qin	19
永穆	yong mu	2
汉安	han an	7
汉昌	han chang	6
汗王	han wang	5
江东伟	jiang dong wei	2
江云龙	jiang yun long	3
江以达	jiang yi da	11
江凯文	jiang kai wen	3
江国香织	jiang guo xiang zhi	37
江声	jiang sheng	7
江大来	jiang da lai	2
江姐	jiang jie	10
江孔殷	jiang kong yin	39
江尊	jiang zun	2
江小鱼	jiang xiao yu	33
江总	jiang zong	7
江恂	jiang xun	3
江春炎	jiang chun yan	4
江春霖	jiang chun lin	8
江昱	jiang yu	8
江柏	jiang bai	2
江柏青	jiang bai qing	8
江标	jiang biao	4
江桂	jiang gui	26
江欣荣	jiang xin rong	4
江泽	jiang ze	7
江泽熙	jiang ze xi	3
江炯	jiang jiong	6
江玉	jiang yu	5
江珩	jiang heng	2
江盈科	jiang ying ke	13
江立	jiang li	5
江胜	jiang sheng	4
江腾一	jiang teng yi	5
江蓉	jiang rong	5
江采	jiang cai	4
江铸久	jiang zhu jiu	31
江鸣久	jiang ming jiu	10
池内博之	chi nei bo zhi	48
池墨	chi mo	1
池田理代子	chi tian li dai zi	32
池胁千鹤	chi xie qian he	1
汤世澍	tang shi shu	2
汤光启	tang guang qi	2
汤卓光	tang zhuo guang	2
汤哲	tang zhe	13
汤圆成	tang yuan cheng	3
汤子敬	tang zi jing	3
汤宾	tang bin	30
汤川学	tang chuan xue	40
汤慧	tang hui	12
汤汉	tang han	4
汤涤	tang di	5
汤玮	tang wei	4
汤苏阳	tang su yang	2
汤贻汾	tang yi fen	8
汪一龙	wang yi long	1
汪丁丁	wang ding ding	14
汪乔年	wang qiao nian	29
汪云生	wang yun sheng	3
汪元亨	wang yuan heng	2
