# 微明基础词库，由 glimmer-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；补充常用词（common_words.tsv，白名单 CC-CEDICT CC BY-SA 4.0 与 jieba 词表 MIT，人工审）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：微明自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
移动式	yi dong shi	344
移动技术	yi dong ji shu	67
移动操作系统	yi dong cao zuo xi tong	78
移动支付	yi dong zhi fu	169
移动游戏	yi dong you xi	68
移动电源	yi dong dian yuan	333
移动电话	yi dong dian hua	993
移动硬盘	yi dong ying pan	241
移动端	yi dong duan	248
移动终端	yi dong zhong duan	111
移动网络	yi dong wang luo	219
移动设备	yi dong she bei	704
移动通信	yi dong tong xin	854
移动靶	yi dong ba	97
移居	yi ju	10920
移属	yi shu	322
移山倒海	yi shan dao hai	29
移师	yi shi	1016
移往	yi wang	1299
移情	yi qing	563
移情别恋	yi qing bie lian	387
移栽	yi zai	112
移植	yi zhi	6619
移植物	yi zhi wu	84
移民	yi min	38253
移民村	yi min cun	363
移用	yi yong	23
移籍	yi ji	1971
移至	yi zhi	5351
移花接木	yi hua jie mu	126
移转	yi zhuan	1682
移送	yi song	2808
移防	yi fang	518
移除	yi chu	8105
移风易俗	yi feng yi su	80
移驻	yi zhu	1138
秽	hui	878
秽亵	hui xie	6
秽土	hui tu	411
秽气	hui qi	32
秽行	hui xing	9
秽语	hui yu	188
秽闻	hui wen	1
秾	nong	62
稀	xi	3701
稀世	xi shi	187
稀土	xi tu	1541
稀奇	xi qi	815
稀奇古怪	xi qi gu guai	217
稀客	xi ke	225
稀少	xi shao	3208
稀巴烂	xi ba lan	13
稀有	xi you	4370
稀有金属	xi you jin shu	174
稀松	xi song	99
稀泥	xi ni	28
稀溜溜	xi liu liu	1
稀烂	xi lan	24
稀疏	xi shu	1551
稀盐酸	xi yan suan	79
稀稀拉拉	xi xi la la	53
稀粥	xi zhou	54
稀缺	xi que	756
稀罕	xi han	2211
稀落	xi luo	28
稀薄	xi bo	655
稀释	xi shi	1432
稀里哗啦	xi li hua la	747
稀里糊涂	xi li hu tu	274
稀饭	xi fan	2911
稂	lang	8
稃	fu	281
稆	lv	4
程	cheng	31993
程世才	cheng shi cai	93
程咬金	cheng yao jin	329
程大位	cheng da wei	50
程子华	cheng zi hua	327
程家桥	cheng jia qiao	51
程序	cheng xu	33294
程序代码	cheng xu dai ma	149
程序分析	cheng xu fen xi	73
程序员	cheng xu yuan	2582
程序开发	cheng xu kai fa	61
程序控制	cheng xu kong zhi	85
程序猿	cheng xu yuan	427
程序设计竞赛	cheng xu she ji jing sai	67
程序设计语言	cheng xu she ji yu yan	459
程序语言	cheng xu yu yan	195
程序运行	cheng xu yun xing	130
程序错误	cheng xu cuo wu	218
程序集	cheng xu ji	71
程度	cheng du	44133
程式	cheng shi	24234
程式设计语言	cheng shi she ji yu yan	105
程德全	cheng de quan	182
程思远	cheng si yuan	111
程控	cheng kong	102
程昱	cheng yu	368
程普	cheng pu	212
程潜	cheng qian	614
程灵素	cheng ling su	62
程琳	cheng lin	149
程璧光	cheng bi guang	141
程知节	cheng zhi jie	112
程远	cheng yuan	51
程颐	cheng yi	257
程颢	cheng hao	152
稌	tu	4
稍	shao	12280
稍事	shao shi	104
稍候	shao hou	53
稍加	shao jia	327
稍后	shao hou	5222
稍安	shao an	17
稍安勿	shao an wu	13
稍安勿躁	shao an wu zao	209
稍微	shao wei	10104
稍息	shao xi	127
稍晚	shao wan	751
稍稍	shao shao	946
稍等	shao deng	556
稍等一下	shao deng yi xia	38
稍纵即逝	shao zong ji shi	115
稍许	shao xu	83
稍逊	shao xun	155
稍顷	shao qing	2
税	shui	13790
税则	shui ze	203
税利	shui li	10
税制	shui zhi	661
税务	shui wu	5013
税务局	shui wu ju	901
税单	shui dan	32
税后	shui hou	238
税基	shui ji	94
税收	shui shou	5082
税案	shui an	20
税款	shui kuan	846
税法	shui fa	507
税源	shui yuan	39
税率	shui lv	1612
税目	shui mu	76
税票	shui piao	10
税种	shui zhong	174
税负	shui fu	155
税费	shui fei	221
税金	shui jin	488
税额	shui e	298
稑	lu	20
稔	ren	2003
稔湾	ren wan	91
稔熟	ren shu	16
稗	bai	811
稗子	bai zi	50
稗官野史	bai guan ye shi	18
稗草	bai cao	8
稙	zhi	350
稚	zhi	2621
稚内	zhi nei	987
稚嫩	zhi nen	433
稚子	zhi zi	102
稚拙	zhi zhuo	20
稚气	zhi qi	164
稚童	zhi tong	7
稞	ke	37
稠	chou	2284
稠密	chou mi	1420
稣	su	178
稳	wen	14327
稳了	wen le	652
稳产	wen chan	32
稳住	wen zhu	2336
稳便	wen bian	6
稳健	wen jian	1069
稳健性	wen jian xing	64
稳固	wen gu	2174
稳如泰山	wen ru tai shan	75
稳妥	wen tuo	467
稳定	wen ding	39311
稳定剂	wen ding ji	233
稳定性	wen ding xing	5596
稳当	wen dang	293
稳心高度	wen xin gao du	52
稳态	wen tai	971
稳扎稳打	wen zha wen da	91
稳拿	wen na	34
稳操胜券	wen cao sheng quan	28
稳步	wen bu	1107
稳步增长	wen bu zeng zhang	133
稳重	wen zhong	2069
稷	ji	1530
稷山	ji shan	366
稹	zhen	354
稻	dao	8690
稻叶	dao ye	1451
稻叶浩志	dao ye hao zhi	241
稻垣吾郎	dao yuan wu lang	162
稻城	dao cheng	729
稻壳	dao ke	81
稻子	dao zi	160
稻森泉	dao sen quan	86
稻田	dao tian	5172
稻瘟病	dao wen bing	13
稻种	dao zhong	80
稻秧	dao yang	3
稻穗	dao sui	469
稻米	dao mi	1961
稻糠	dao kang	10
稻苗	dao miao	21
稻草	dao cao	675
稻草人	dao cao ren	756
稻荷	dao he	1242
稻谷	dao gu	562
稻香村	dao xiang cun	692
稻香湖	dao xiang hu	109
稼	jia	840
稼穑	jia se	66
稽	ji	1565
稽	qi	78
稽察	ji cha	206
稽征	ji zheng	265
稽查	ji cha	1012
稽核	ji he	707
稽留	ji liu	23
稽考	ji kao	119
稿	gao	11634
稿件	gao jian	729
稿子	gao zi	880
稿本	gao ben	273
稿源	gao yuan	31
稿纸	gao zhi	85
稿费	gao fei	566
稿酬	gao chou	121
穄	ji	11
穆	mu	36496
穆兰	mu lan	745
穆列	mu lie	437
穆利斯	mu li si	62
穆勒	mu le	1955
穆天子传	mu tian zi zhuan	73
穆宁	mu ning	53
穆尔	mu er	4743
穆尼尔	mu ni er	71
穆彰阿	mu zhang a	84
穆德	mu de	1399
穆拉	mu la	2789
穆捷	mu jie	348
穆斯	mu si	1962
穆斯塔	mu si ta	1476
穆斯林	mu si lin	20152
穆旦	mu dan	55
穆朗	mu lang	28
穆朗玛	mu lang ma	273
穆朗玛峰	mu lang ma feng	7
穆桂英	mu gui ying	333
穆棱市	mu ling shi	51
穆沙拉夫	mu sha la fu	308
穆瓦	mu wa	1231
穆罕默德	mu han mo de	11258
穆罕默德二世	mu han mo de er shi	446
穆萨	mu sa	1540
穆迪	mu di	714
穆雷	mu lei	1325
穑	se	83
穗	sui	10342
穗子	sui zi	382
穗香	sui xiang	195
穙	pu	3
穜	tong	15
穜	zhong	1
穟	sui	41
穰	rang	742
穴	xue	6905
穴位	xue wei	231
穴头	xue tou	1
穴居	xue ju	363
穴居野处	xue ju ye chu	2
穴播	xue bo	1
穴道	xue dao	166
究	jiu	1905
究其实	jiu qi shi	4
究办	jiu ban	39
究极	jiu ji	2294
究根儿	jiu gen er	2
究竟	jiu jing	5269
穷	qiong	18954
穷乏	qiong fa	22
穷乡僻壤	qiong xiang pi rang	148
穷人	qiong ren	4061
穷光蛋	qiong guang dan	199
穷兵黩武	qiong bing du wu	70
穷凶极恶	qiong xiong ji e	113
穷则思变	qiong ze si bian	12
穷困	qiong kun	617
穷困潦倒	qiong kun liao dao	309
穷奢极欲	qiong she ji yu	33
穷寇	qiong kou	20
穷尽	qiong jin	209
穷山恶水	qiong shan e shui	55
穷年累月	qiong nian lei yue	1
穷愁	qiong chou	10
穷期	qiong qi	10
穷极无聊	qiong ji wu liao	6
穷根	qiong gen	3
穷棒子	qiong bang zi	3
穷游	qiong you	794
穷苦	qiong ku	500
穷讲究	qiong jiang jiu	11
穷追	qiong zhui	166
穷追不舍	qiong zhui bu she	234
穷途末路	qiong tu mo lu	154
穷酸	qiong suan	103
穷骨头	qiong gu tou	6
穷鬼	qiong gui	357
穸	xi	12
穹	qiong	2235
穹庐	qiong lu	47
穹隆	qiong long	73
穹顶	qiong ding	1712
空	kong	62799
空中	kong zhong	24655
空中客车	kong zhong ke che	940
空中小姐	kong zhong xiao jie	125
空中楼阁	kong zhong lou ge	36
空中管制	kong zhong guan zhi	228
空乏	kong fa	56
空乘	kong cheng	488
空了	kong le	2152
空仓	kong cang	302
空传	kong chuan	12
空位	kong wei	1065
空余	kong yu	207
空儿	kong er	19
空军	kong jun	54566
空军医院	kong jun yi yuan	50
空军指挥学院	kong jun zhi hui xue yuan	96
空军部队	kong jun bu dui	378
空前	kong qian	1814
空前绝后	kong qian jue hou	227
空勤	kong qin	810
空口	kong kou	96
空口无凭	kong kou wu ping	45
空名	kong ming	38
空喊	kong han	11
空地	kong di	2594
空场	kong chang	80
空城计	kong cheng ji	110
空域	kong yu	1103
空壳公司	kong ke gong si	157
空头	kong tou	152
空头支票	kong tou zhi piao	85
空姐	kong jie	1901
空嫂	kong sao	1
空子	kong zi	191
空寂	kong ji	41
空对空	kong dui kong	930
空巢	kong chao	483
空幻	kong huan	28
空当	kong dang	44
空心	kong xin	1991
空心砖	kong xin zhuan	97
空心菜	kong xin cai	305
空想	kong xiang	1047
空战	kong zhan	3046
空房	kong fang	122
空手	kong shou	915
空手道	kong shou dao	3219
空投	kong tou	1258
空拳	kong quan	27
空指针	kong zhi zhen	66
空挡	kong dang	134
空文	kong wen	22
空无一人	kong wu yi ren	343
空无所有	kong wu suo you	10
空旷	kong kuang	810
空暇	kong xia	17
空服	kong fu	99
空服员	kong fu yuan	835
空架子	kong jia zi	18
空格	kong ge	2939
空格键	kong ge jian	102
空档	kong dang	712
空欢喜	kong huan xi	155
空气	kong qi	32580
空气污染	kong qi wu ran	1972
空气清新剂	kong qi qing xin ji	52
空泛	kong fan	105
空洞	kong dong	1577
空洞无物	kong dong wu wu	11
空海	kong hai	483
空港	kong gang	1687
空灵	kong ling	354
空炮	kong pao	24
空理	kong li	200
空瓶	kong ping	344
空疏	kong shu	35
空白	kong bai	3871
空白点	kong bai dian	6
空穴来风	kong xue lai feng	46
空空如也	kong kong ru ye	168
空竹	kong zhu	142
空管	kong guan	667
空缺	kong que	3461
空置	kong zhi	1281
空翻	kong fan	183
空耗	kong hao	12
空肠	kong chang	89
空腔	kong qiang	461
空腹	kong fu	286
空荡	kong dang	212
空荡荡	kong dang dang	549
空落落	kong luo luo	160
空虚	kong xu	3432
空袭	kong xi	9083
空言	kong yan	55
空论	kong lun	65
空话	kong hua	182
空调	kong tiao	26091
空调房	kong tiao fang	460
空调病	kong tiao bing	77
空谈	kong tan	222
空谷足音	kong gu zu yin	24
空身	kong shen	7
空转	kong zhuan	276
空载	kong zai	475
空运	kong yun	2926
空门	kong men	227
空闲	kong xian	1545
空间	kong jian	68021
空间分析	kong jian fen xi	80
空间复杂度	kong jian fu za du	105
空间布局	kong jian bu ju	97
空间技术	kong jian ji shu	210
空间数据	kong jian shu ju	64
空间站	kong jian zhan	3458
空阔	kong kuo	16
空际	kong ji	8
空降	kong jiang	6631
空降兵	kong jiang bing	593
空隙	kong xi	1543
空难	kong nan	5719
空额	kong e	23
空驶	kong shi	41
穿	chuan	158201
穿上	chuan shang	7852
穿了	chuan le	8757
穿云破雾	chuan yun po wu	1
穿什么	chuan shen me	2736
穿凿	chuan zao	38
穿凿附会	chuan zao fu hui	103
穿刺	chuan ci	450
穿厚	chuan hou	1170
穿堂	chuan tang	227
穿堂门	chuan tang men	11
穿堂风	chuan tang feng	100
穿孔	chuan kong	881
穿孝	chuan xiao	37
穿小鞋	chuan xiao xie	61
穿山甲	chuan shan jia	678
穿帮	chuan bang	233
穿心莲	chuan xin lian	21
穿戴	chuan dai	1464
穿插	chuan cha	1627
穿搭	chuan da	759
穿梭	chuan suo	3983
穿棉	chuan mian	107
穿点	chuan dian	4280
穿甲弹	chuan jia dan	1389
穿的	chuan de	12417
穿着	chuan zhe	4422
穿着	chuan zhuo	6632
穿短袖	chuan duan xiu	3096
穿秋裤	chuan qiu ku	2520
穿著	chuan zhuo	10747
穿行	chuan xing	510
穿衣	chuan yi	1427
穿衣服	chuan yi fu	3632
穿衣镜	chuan yi jing	36
穿袄	chuan ao	94
穿裙子	chuan qun zi	2563
穿越	chuan yue	16308
穿过	chuan guo	13417
穿连裆裤	chuan lian dang ku	1
穿透	chuan tou	2269
穿透力	chuan tou li	386
穿透性	chuan tou xing	142
穿针引线	chuan zhen yin xian	154
穿靴戴帽	chuan xue dai mao	2
穿鞋	chuan xie	768
窀	zhun	7
突	tu	9574
突兀	tu wu	597
突入	tu ru	893
突出	tu chu	15959
突击	tu ji	10593
突击手	tu ji shou	62
突击队	tu ji dui	3042
突厥	tu jue	10180
突厥语	tu jue yu	1830
突发	tu fa	4079
突发公共卫生事件	tu fa gong gong wei sheng shi jian	188
突发奇想	tu fa qi xiang	312
突变	tu bian	3574
突变体	tu bian ti	161
突变基因	tu bian ji yin	63
突变率	tu bian lv	51
突围	tu wei	3838
突如其来	tu ru qi lai	1270
突审	tu shen	3
突尼	tu ni	1790
突尼斯	tu ni si	3338
突显	tu xian	1194
突然	tu ran	68121
突然发现	tu ran fa xian	3338
突然就	tu ran jiu	2263
突然想	tu ran xiang	4598
突然觉得	tu ran jue de	3530
突然间	tu ran jian	924
突现	tu xian	63
突破	tu po	23529
突破口	tu po kou	340
突突	tu tu	523
突袭	tu xi	6060
突触	tu chu	1096
突起	tu qi	2177
突进	tu jin	423
突遇	tu yu	90
突飞猛进	tu fei meng jin	435
窃	qie	2442
窃取	qie qu	1595
窃听	qie ting	1024
窃听器	qie ting qi	191
窃国	qie guo	66
窃密	qie mi	30
窃据	qie ju	48
窃案	qie an	76
窃窃	qie qie	20
窃窃私语	qie qie si yu	76
窃笑	qie xiao	35
窃贼	qie zei	418
窄	zhai	7348
窄小	zhai xiao	219
窄幅	zhai fu	15
窄狭	zhai xia	11
窄轨	zhai gui	900
窅	yao	33
窈	yao	236
窈窕	yao tiao	276
窈窕淑女	yao tiao shu nv	260
窊	wa	8
窍	qiao	551
窍门	qiao men	218
窎	diao	10
窑	yao	6377
窑厂	yao chang	168
窑址	yao zhi	895
窑坑	yao keng	18
窑姐儿	yao jie er	2
窑洞	yao dong	300
窑顶	yao ding	10
窒	zhi	278
窒息	zhi xi	2740
窒碍难行	zhi ai nan xing	62
窒闷	zhi men	2
窕	tiao	38
窖	jiao	614
窖藏	jiao cang	215
窗	chuang	12711
窗口	chuang kou	6974
窗口期	chuang kou qi	50
窗口管理器	chuang kou guan li qi	220
窗口行业	chuang kou hang ye	1
窗台	chuang tai	736
窗外	chuang wai	2179
窗子	chuang zi	442
窗帘	chuang lian	1964
窗帷	chuang wei	2
窗幔	chuang man	24
窗户	chuang hu	6460
窗扇	chuang shan	35
窗扉	chuang fei	6
窗明几净	chuang ming ji jing	8
窗机	chuang ji	5
窗格子	chuang ge zi	1
窗框	chuang kuang	293
窗棂	chuang ling	67
窗沿	chuang yan	11
窗洞	chuang dong	43
窗纱	chuang sha	28
窗花	chuang hua	126
窗边	chuang bian	464
窘	jiong	189
窘促	jiong cu	7
窘况	jiong kuang	62
窘困	jiong kun	62
窘境	jiong jing	644
窘态	jiong tai	32
窘迫	jiong po	479
窜	cuan	2321
窜天	cuan tian	239
窜改	cuan gai	459
窜逃	cuan tao	44
窝	wo	21180
窝主	wo zhu	6
窝囊	wo nang	228
窝囊废	wo nang fei	54
窝囊气	wo nang qi	11
窝头	wo tou	344
窝工	wo gong	6
窝心	wo xin	291
窝棚	wo peng	117
窝气	wo qi	2
窝火	wo huo	120
窝点	wo dian	122
窝藏	wo cang	202
窝赃	wo zang	6
窝边草	wo bian cao	1
窝里	wo li	2988
窝里反	wo li fan	26
窝里斗	wo li dou	29
窝里横	wo li heng	44
窝铺	wo pu	139
窝阔台	wo kuo tai	955
窟	ku	3917
窟窿	ku long	258
窟窿眼儿	ku long yan er	4
窠	ke	240
窠臼	ke jiu	79
窣	su	219
窥	kui	1262
窥伺	kui si	123
窥察	kui cha	3
窥探	kui tan	376
窥测	kui ce	18
窥看	kui kan	75
窥破	kui po	7
窥见	kui jian	280
窥视	kui shi	469
窦	dou	7841
窦唯	dou wei	200
窦固	dou gu	88
窦店	dou dian	54
窦建德	dou jian de	580
窦房结	dou fang jie	60
窦文涛	dou wen tao	54
窦智孔	dou zhi kong	84
窦武	dou wu	199
窦融	dou rong	137
窦骁	dou xiao	681
窨	xun	6
窨	yin	114
窬	yu	17
窭	ju	18
窳	yu	52
窸	xi	36
窿	long	592
立	li	124735
立业	li ye	238
立于	li yu	1506
立交	li jiao	2515
立交桥	li jiao qiao	1650
立传	li chuan	34
立传	li zhuan	276
立体	li ti	6864
立体交叉	li ti jiao cha	267
立体几何	li ti ji he	105
立体化学	li ti hua xue	287
立体图	li ti tu	116
立体声	li ti sheng	1071
立体异构	li ti yi gou	193
立体影像	li ti ying xiang	113
立体感	li ti gan	265
立体电影	li ti dian ying	53
立体绿化	li ti lv hua	3
立体视觉	li ti shi jue	94
立农	li nong	166
立冬	li dong	626
立刻	li ke	10771
立功	li gong	1345
立功赎罪	li gong shu zui	25
立即	li ji	22632
立叶	li ye	44
立国	li guo	1635
立地	li di	248
立地成佛	li di cheng fo	127
立场	li chang	19033
立夏	li xia	1057
立委	li wei	9249
立定	li ding	287
立宪	li xian	2532
立山	li shan	1247
立川	li chuan	1434
立式	li shi	347
立志	li zhi	2910
立意	li yi	293
立户	li hu	49
立教	li jiao	494
立斋	li zhai	69
立新	li xin	1054
立方	li fang	5423
立方体	li fang ti	2284
立方米	li fang mi	10593
立时	li shi	188
立春	li chun	1266
立柜	li gui	13
立柱	li zhu	863
立案	li an	4245
立正	li zheng	465
立此存照	li ci cun zhao	20
立法	li fa	76020
立碑	li bei	1041
立秋	li qiu	684
立竿见影	li gan jian ying	175
立等	li deng	137
立等可取	li deng ke qu	12
立约	li yue	191
立脚	li jiao	16
立脚点	li jiao dian	17
立花慎之介	li hua shen zhi jie	96
立言	li yan	374
立誓	li shi	445
立论	li lun	263
立足	li zu	1359
立足之地	li zu zhi di	99
立足点	li zu dian	240
立身处世	li shen chu shi	18
立锥之地	li zhui zhi di	6
立陶	li tao	199
立陶宛	li tao wan	16596
立面	li mian	4076
立项	li xiang	1410
立马	li ma	4996
竑	hong	716
竖	shu	4502
竖井	shu jing	416
竖向	shu xiang	155
竖子	shu zi	34
竖屏	shu ping	56
竖排	shu pai	212
竖琴	shu qin	1188
竖直	shu zhi	356
竖着	shu zhe	350
竖立	shu li	2371
竖线	shu xian	204
竘	qu	7
站	zhan	445212
站会	zhan hui	248
站住	zhan zhu	344
站前	zhan qian	9211
站前路	zhan qian lu	134
站务	zhan wu	1242
站厅	zhan ting	6314
站厅层	zhan ting ceng	1250
站台	zhan tai	19849
站台票	zhan tai piao	41
站哨	zhan shao	37
站在	zhan zai	13987
站姿	zhan zi	412
站岗	zhan gang	478
站房	zhan fang	11389
站柜台	zhan gui tai	15
站点	zhan dian	6588
站牌	zhan pai	1633
站相	zhan xiang	34
站着	zhan zhe	3499
站票	zhan piao	552
站稳	zhan wen	838
站立	zhan li	2426
站至	zhan zhi	14670
站舍	zhan she	2614
站设	zhan she	265
站设于	zhan she yu	510
站起来	zhan qi lai	3447
站长	zhan chang	287
站长	zhan zhang	2303
站间	zhan jian	5993
站队	zhan dui	353
竞	jing	4990
竞业	jing ye	74
竞买	jing mai	15
竞争	jing zheng	27843
竞争力	jing zheng li	3060
竞争对手	jing zheng dui shou	5679
竞争性	jing zheng xing	835
竞争机制	jing zheng ji zhi	53
竞价	jing jia	298
竞卖	jing mai	3
竞品	jing pin	90
竞技	jing ji	15561
竞技体育	jing ji ti yu	221
竞技场	jing ji chang	5180
竞投	jing tou	664
竞拍	jing pai	184
竞标	jing biao	1559
竞渡	jing du	371
竞演	jing yan	1450
竞猜	jing cai	425
竞相	jing xiang	411
竞答	jing da	15
竞聘	jing pin	71
竞购	jing gou	55
竞赛	jing sai	19482
竞走	jing zou	1117
竞选	jing xuan	20480
竞逐	jing zhu	2716
竞速	jing su	4134
竞销	jing xiao	5
竞马	jing ma	2492
竟	jing	10436
竟敢	jing gan	291
竟无语凝噎	jing wu yu ning ye	85
竟日	jing ri	48
竟是	jing shi	972
竟然	jing ran	33472
竟自	jing zi	7
竟至	jing zhi	51
章	zhang	62393
章丘	zhang qiu	886
章丘县	zhang qiu xian	116
章丘市	zhang qiu shi	182
章事	zhang shi	3
章亚若	zhang ya ruo	104
章句	zhang ju	357
章回体	zhang hui ti	55
章回小说	zhang hui xiao shuo	234
章士钊	zhang shi zhao	374
章太炎	zhang tai yan	798
章子怡	zhang zi yi	718
章学诚	zhang xue cheng	152
章安	zhang an	179
章宗	zhang zong	746
章武	zhang wu	479
章法	zhang fa	154
章炳麟	zhang bing lin	128
章甫	zhang fu	111
章程	zhang cheng	3881
章节	zhang jie	4766
章邯	zhang han	461
章陵	zhang ling	55
章鱼	zhang yu	3260
竣	jun	1098
竣工	jun gong	12812
童	tong	18151
童书业	tong shu ye	79
童便	tong bian	13
童养媳	tong yang xi	224
童军	tong jun	6370
童叟无欺	tong sou wu qi	101
童声	tong sheng	229
童女	tong nv	229
童子	tong zi	2913
童子鸡	tong zi ji	9
童安格	tong an ge	117
童山	tong shan	48
童工	tong gong	642
童年	tong nian	12250
童心	tong xin	873
童心未泯	tong xin wei min	282
童星	tong xing	2291
童木	tong mu	3
童男	tong nan	58
童癖	tong pi	13
童真	tong zhen	530
童稚	tong zhi	41
童第周	tong di zhou	104
童蒙	tong meng	77
童装	tong zhuang	670
童话	tong hua	6789
童话故事	tong hua gu shi	962
童谣	tong yao	1285
童贞	tong zhen	802
童贯	tong guan	201
童趣	tong qu	253
童车	tong che	62
童鞋	tong xie	2150
童音	tong yin	20
竦	song	255
竫	jing	24
竭	jie	1025
竭力	jie li	1077
竭尽	jie jin	354
竭尽全力	jie jin quan li	435
竭泽而渔	jie ze er yu	17
竭诚	jie cheng	136
端	duan	37488
端丽	duan li	122
端倪	duan ni	273
端到端	duan dao duan	200
端午	duan wu	3697
端午节	duan wu jie	2815
端口	duan kou	2002
端口号	duan kou hao	103
端坐	duan zuo	226
端州	duan zhou	310
端庄	duan zhuang	855
端接	duan jie	419
端木	duan mu	800
端木蕻良	duan mu hong liang	67
端架子	duan jia zi	3
端正	duan zheng	1183
端濒	duan bin	292
端濒地	duan bin di	292
端点	duan dian	1456
端砚	duan yan	62
端粒	duan li	338
端线	duan xian	165
端脑	duan nao	94
端茶	duan cha	250
端详	duan xiang	114
端重	duan zhong	62
端量	duan liang	6
端阳	duan yang	89
端阳节	duan yang jie	12
竹	zhu	41555
竹东	zhu dong	1887
竹中半兵卫	zhu zhong ban bing wei	96
竹中直人	zhu zhong zhi ren	196
竹亭	zhu ting	59
竹仔	zhu zi	471
竹内	zhu nei	1888
竹内结子	zhu nei jie zi	196
竹内顺子	zhu nei shun zi	175
竹凳	zhu deng	3
竹制品	zhu zhi pin	29
竹刻	zhu ke	78
竹南	zhu nan	1879
竹叶	zhu ye	490
竹叶青	zhu ye qing	219
竹器	zhu qi	96
竹园	zhu yuan	1142
竹园村	zhu yuan cun	116
竹围	zhu wei	1452
竹坑	zhu keng	187
竹塘	zhu tang	447
竹子	zhu zi	2706
竹子林	zhu zi lin	66
竹山	zhu shan	2134
竹布	zhu bu	7
竹帘	zhu lian	53
竹帘子	zhu lian zi	3
竹帛	zhu bo	58
竹席	zhu xi	78
竹排	zhu pai	68
竹斋	zhu zhai	60
竹杠	zhu gang	21
竹板	zhu ban	92
竹林	zhu lin	2222
竹林寺	zhu lin si	91
竹林村	zhu lin cun	75
竹椅	zhu yi	18
竹楼	zhu lou	57
竹榻	zhu ta	1
竹溪	zhu xi	376
竹田	zhu tian	1842
竹竿	zhu gan	729
竹笋	zhu sun	617
竹笠	zhu li	14
竹笼	zhu long	86
竹筏	zhu fa	250
竹筐	zhu kuang	33
竹筒	zhu tong	292
竹筒饭	zhu tong fan	92
竹筷	zhu kuai	41
竹签儿	zhu qian er	1
竹简	zhu jian	527
竹箱	zhu xiang	2
竹篮	zhu lan	70
竹篱	zhu li	34
竹纸	zhu zhi	68
竹编	zhu bian	246
竹联	zhu lian	860
竹节	zhu jie	635
竹荪	zhu sun	150
竹野内丰	zhu ye nei feng	174
竹雕	zhu diao	37
竹马	zhu ma	266
竹鸡	zhu ji	46
竺	zhu	1644
竺三	zhu san	212
竺三藏	zhu san zang	206
竺可桢	zhu ke zhen	305
竽	yu	71
竿	gan	3129
竿子	gan zi	172
笃	du	8032
笃信	du xin	818
笃厚	du hou	31
笃姬	du ji	190
笃守	du shou	17
笃实	du shi	79
笃志	du zhi	301
笃深	du shen	3
笃爱	du ai	55
笃诚	du cheng	16
笄	ji	274
笆	ba	51
笆斗	ba dou	10
笈	ji	1632
笊	zhao	17
笊篱	zhao li	21
笋	sun	2495
笋干儿	sun gan er	7
笏	hu	1169
笑	xiao	78633
笑不活了	xiao bu huo le	200
笑了	xiao le	6455
笑傲	xiao ao	1345
笑剧	xiao ju	42
笑口常开	xiao kou chang kai	301
笑吟吟	xiao yin yin	1
笑呵呵	xiao he he	108
笑哈哈	xiao ha ha	315
笑嘻嘻	xiao xi xi	402
笑场	xiao chang	384
笑声	xiao sheng	1963
笑容	xiao rong	4940
笑容可掬	xiao rong ke ju	22
笑容满面	xiao rong man mian	65
笑意	xiao yi	114
笑料	xiao liao	522
笑星	xiao xing	300
笑柄	xiao bing	235
笑死	xiao si	15341
笑死了	xiao si le	3710
笑死我	xiao si wo	7734
笑死我了	xiao si wo le	72
笑点	xiao dian	2827
笑疯	xiao feng	118
笑疯了	xiao feng le	248
笑盈盈	xiao ying ying	13
笑眯眯	xiao mi mi	8
笑窝	xiao wo	6
笑纳	xiao na	158
笑纹	xiao wen	21
笑脸	xiao lian	1247
笑脸相迎	xiao lian xiang ying	42
笑话	xiao hua	8695
笑语	xiao yu	56
笑谈	xiao tan	177
笑貌	xiao mao	6
笑起来	xiao qi lai	2248
笑逐颜开	xiao zhu yan kai	22
笑醒	xiao xing	485
笑里藏刀	xiao li cang dao	45
笑面虎	xiao mian hu	59
笑靥	xiao ye	21
笑颜	xiao yan	466
笑骂	xiao ma	21
笔	bi	24568
笔下	bi xia	2054
笔伐	bi fa	8
笔会	bi hui	1005
笔体	bi ti	6
笔债	bi zhai	25
笔划	bi hua	868
笔力	bi li	125
笔势	bi shi	54
笔友	bi you	298
笔名	bi ming	6969
笔墨	bi mo	557
笔墨官司	bi mo guan si	5
笔头儿	bi tou er	47
笔套	bi tao	16
笔尖	bi jian	488
笔帖	bi tie	6
笔帖式	bi tie shi	850
笔帽	bi mao	64
笔底下	bi di xia	1
笔录	bi lu	549
笔形	bi xing	43
笔意	bi yi	88
笔战	bi zhan	154
笔挺	bi ting	61
笔杆儿	bi gan er	1
笔杆子	bi gan zi	33
笔架	bi jia	104
笔架山	bi jia shan	416
笔法	bi fa	497
笔洗	bi xi	21
笔画	bi hua	2082
笔直	bi zhi	1012
笔立	bi li	19
笔端	bi duan	39
笔筒	bi tong	167
笔算	bi suan	36
笔管	bi guan	48
笔者	bi zhe	270
笔耕	bi geng	181
笔芯	bi xin	2421
