# 微明基础词库，由 glimmer-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；补充常用词（common_words.tsv，白名单 CC-CEDICT CC BY-SA 4.0 与 jieba 词表 MIT，人工审）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：微明自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
一直以为	yi zhi yi wei	5144
一直以来	yi zhi yi lai	2936
一直在	yi zhi zai	29057
一直想	yi zhi xiang	5114
一直是	yi zhi shi	10832
一直觉得	yi zhi jue de	2918
一直都在	yi zhi dou zai	763
一直都是	yi zhi dou shi	3843
一看	yi kan	13828
一看就	yi kan jiu	87
一看就是	yi kan jiu shi	37
一眨眼	yi zha yan	578
一眼	yi yan	9133
一瞥	yi pie	259
一瞬	yi shun	316
一瞬间	yi shun jian	3161
一知半解	yi zhi ban jie	133
一石二鸟	yi shi er niao	47
一码事	yi ma shi	6
一砖一瓦	yi zhuan yi wa	35
一碗	yi wan	4753
一碗水端平	yi wan shui duan ping	22
一碗面	yi wan mian	404
一碗饭	yi wan fan	250
一票制	yi piao zhi	378
一种	yi zhong	215326
一种菌	yi zhong jun	13
一种菌子	yi zhong jun zi	227
一秒	yi miao	4383
一程子	yi cheng zi	4
一穷二白	yi qiong er bai	18
一窍不通	yi qiao bu tong	312
一窝蜂	yi wo feng	86
一站	yi zhan	6342
一竿子插到底	yi gan zi cha dao di	4
一笑	yi xiao	4399
一笑置之	yi xiao zhi zhi	84
一笔勾销	yi bi gou xiao	89
一笔带过	yi bi dai guo	76
一笔抹杀	yi bi mo sha	1
一等奖	yi deng jiang	3256
一筐	yi kuang	388
一筹莫展	yi chou mo zhan	111
一箭双雕	yi jian shuang diao	69
一箱	yi xiang	2272
一篇	yi pian	13893
一米	yi mi	3934
一米线	yi mi xian	5
一系列	yi xi lie	29567
一级	yi ji	37108
一级谋杀	yi ji mou sha	130
一纸空文	yi zhi kong wen	63
一线	yi xian	9692
一线生机	yi xian sheng ji	105
一经	yi jing	1213
一统天下	yi tong tian xia	169
一缕	yi lv	545
一网打尽	yi wang da jin	309
一群	yi qun	17633
一者	yi zhe	239
一而再再而三	yi er zai zai er san	102
一肚子	yi du zi	532
一股	yi gu	5937
一股劲儿	yi gu jin er	3
一股清流	yi gu qing liu	513
一股脑儿	yi gu nao er	25
一脉相传	yi mai xiang chuan	42
一脉相承	yi mai xiang cheng	266
一脉相通	yi mai xiang tong	3
一脸	yi lian	5413
一臂之力	yi bi zhi li	308
一致	yi zhi	24189
一致性	yi zhi xing	1594
一致裁决	yi zhi cai jue	433
一般	yi ban	164379
一般人	yi ban ren	5015
一般化	yi ban hua	437
一般来说	yi ban lai shuo	4304
一般用户	yi ban yong hu	71
一般的	yi ban de	12574
一般而言	yi ban er yan	2892
一般般	yi ban ban	3242
一般见识	yi ban jian shi	521
一般都是	yi ban dou shi	1411
一艘	yi sou	10886
一色	yi se	1240
一落千丈	yi luo qian zhang	415
一行	yi hang	3590
一行	yi xing	1539
一衣带水	yi yi dai shui	14
一表人才	yi biao ren cai	93
一见倾心	yi jian qing xin	208
一见如故	yi jian ru gu	309
一见钟情	yi jian zhong qing	2363
一视同仁	yi shi tong ren	433
一览	yi lan	3290
一览众山小	yi lan zhong shan xiao	67
一览无余	yi lan wu yu	38
一览无遗	yi lan wu yi	93
一览表	yi lan biao	688
一觉	yi jiao	7196
一觉睡	yi jiao shui	863
一觉醒来	yi jiao xing lai	1015
一角	yi jiao	9717
一角鲸	yi jiao jing	56
一触即发	yi chu ji fa	479
一触即溃	yi chu ji kui	42
一言一行	yi yan yi xing	115
一言不发	yi yan bu fa	171
一言为定	yi yan wei ding	746
一言九鼎	yi yan jiu ding	30
一言以蔽之	yi yan yi bi zhi	42
一言堂	yi yan tang	58
一言难尽	yi yan nan jin	2833
一语中的	yi yu zhong di	419
一语双关	yi yu shuang guan	278
一语破的	yi yu po di	1
一语道破	yi yu dao po	362
